datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,indoor_dew_point,indoor_feels_like,indoor_app_tempin,pressure_relative,pressure_absolute
2025-10-01 02:00:00+02:00,,,,,,10.9,93.0,9.8,10.9,10.9,1018.8,1018.8
2025-10-01 02:05:00+02:00,,,,,,10.8,93.0,9.7,10.8,10.8,1018.8,1018.8
2025-10-01 02:10:00+02:00,,,,,,10.8,93.0,9.7,10.8,10.7,1018.9,1018.9
2025-10-01 02:15:00+02:00,,,,,,10.7,93.0,9.6,10.7,10.7,1018.8,1018.8
2025-10-01 02:20:00+02:00,,,,,,10.7,93.0,9.6,10.7,10.7,1018.8,1018.8
2025-10-01 02:25:00+02:00,,,,,,10.6,93.0,9.5,10.6,10.5,1018.9,1018.9
2025-10-01 02:30:00+02:00,,,,,,10.6,93.0,9.5,10.6,10.5,1018.9,1018.9
2025-10-01 02:35:00+02:00,,,,,,10.5,93.0,9.4,10.5,10.4,1018.8,1018.8
2025-10-01 02:40:00+02:00,,,,,,10.5,93.0,9.4,10.5,10.4,1018.8,1018.8
2025-10-01 02:45:00+02:00,,,,,,10.5,93.0,9.4,10.5,10.4,1018.8,1018.8
2025-10-01 02:50:00+02:00,,,,,,10.4,93.0,9.3,10.4,10.3,1018.8,1018.8
2025-10-01 02:55:00+02:00,,,,,,10.3,93.0,9.2,10.3,10.1,1018.9,1018.9
2025-10-01 03:00:00+02:00,,,,,,10.3,93.0,9.2,10.3,10.1,1018.8,1018.8
2025-10-01 03:05:00+02:00,,,,,,10.2,93.0,9.2,10.2,10.0,1018.8,1018.8
2025-10-01 03:10:00+02:00,,,,,,10.2,93.0,9.1,10.2,10.0,1018.8,1018.8
2025-10-01 03:15:00+02:00,,,,,,10.1,93.0,9.0,10.2,9.9,1018.8,1018.8
2025-10-01 03:20:00+02:00,,,,,,10.1,93.0,9.0,10.1,9.9,1018.9,1018.9
2025-10-01 03:25:00+02:00,,,,,,10.0,93.0,9.0,10.0,9.8,1018.9,1018.9
2025-10-01 03:30:00+02:00,,,,,,10.0,93.0,8.9,10.0,9.8,1018.8,1018.8
2025-10-01 03:35:00+02:00,,,,,,10.0,93.0,8.9,9.9,9.7,1018.8,1018.8
2025-10-01 03:40:00+02:00,,,,,,9.9,93.0,8.8,9.9,9.6,1018.9,1018.9
2025-10-01 03:45:00+02:00,,,,,,9.8,93.0,8.7,9.8,9.5,1018.9,1018.9
2025-10-01 03:50:00+02:00,,,,,,9.8,93.0,8.7,9.8,9.5,1018.9,1018.9
2025-10-01 03:55:00+02:00,,,,,,9.8,93.0,8.7,9.8,9.5,1018.9,1018.9
2025-10-01 04:00:00+02:00,,,,,,9.7,93.0,8.6,9.7,9.4,1019.0,1019.0
2025-10-01 04:05:00+02:00,,,,,,9.7,93.0,8.6,9.7,9.4,1018.9,1018.9
2025-10-01 04:10:00+02:00,,,,,,9.6,93.0,8.5,9.6,9.3,1018.9,1018.9
2025-10-01 04:15:00+02:00,,,,,,9.6,93.0,8.5,9.6,9.3,1018.9,1018.9
2025-10-01 04:20:00+02:00,,,,,,9.5,93.0,8.5,9.5,9.2,1018.9,1018.9
2025-10-01 04:25:00+02:00,,,,,,9.5,93.0,8.4,9.5,9.1,1019.0,1019.0
2025-10-01 04:30:00+02:00,,,,,,9.4,93.0,8.3,9.4,9.0,1019.1,1019.1
2025-10-01 04:35:00+02:00,,,,,,9.4,93.0,8.3,9.4,9.0,1019.0,1019.0
2025-10-01 04:40:00+02:00,,,,,,9.4,93.0,8.3,9.3,8.9,1019.0,1019.0
2025-10-01 04:45:00+02:00,,,,,,9.3,93.0,8.2,9.3,8.9,1019.0,1019.0
2025-10-01 04:50:00+02:00,,,,,,9.3,93.0,8.2,9.3,8.9,1019.1,1019.1
2025-10-01 04:55:00+02:00,,,,,,9.2,93.0,8.1,9.2,8.8,1019.0,1019.0
2025-10-01 05:00:00+02:00,,,,,,9.2,93.0,8.1,9.2,8.8,1019.1,1019.1
2025-10-01 05:05:00+02:00,,,,,,9.2,93.0,8.1,9.2,8.7,1018.9,1018.9
2025-10-01 05:10:00+02:00,,,,,,9.1,93.0,8.0,9.1,8.7,1018.9,1018.9
2025-10-01 05:15:00+02:00,,,,,,9.1,93.0,8.0,9.1,8.6,1019.0,1019.0
2025-10-01 05:20:00+02:00,,,,,,9.0,92.0,7.8,9.0,8.5,1018.9,1018.9
2025-10-01 05:25:00+02:00,,,,,,9.0,92.0,7.8,9.0,8.5,1018.9,1018.9
2025-10-01 05:30:00+02:00,,,,,,8.9,92.0,7.7,8.9,8.3,1019.0,1019.0
2025-10-01 05:35:00+02:00,,,,,,8.9,92.0,7.6,8.9,8.3,1019.0,1019.0
2025-10-01 05:40:00+02:00,,,,,,8.8,92.0,7.6,8.8,8.2,1018.9,1018.9
2025-10-01 05:45:00+02:00,,,,,,8.8,92.0,7.6,8.8,8.2,1019.0,1019.0
2025-10-01 05:50:00+02:00,,,,,,8.7,92.0,7.5,8.7,8.1,1019.0,1019.0
2025-10-01 05:55:00+02:00,,,,,,8.7,92.0,7.5,8.7,8.1,1019.2,1019.2
2025-10-01 06:00:00+02:00,,,,,,8.7,92.0,7.5,8.7,8.1,1019.2,1019.2
2025-10-01 06:05:00+02:00,,,,,,8.6,92.0,7.4,8.7,8.0,1019.2,1019.2
2025-10-01 06:10:00+02:00,,,,,,8.6,92.0,7.4,8.6,8.0,1019.2,1019.2
2025-10-01 06:15:00+02:00,,,,,,8.5,92.0,7.3,8.5,7.9,1019.4,1019.4
2025-10-01 06:20:00+02:00,,,,,,8.5,92.0,7.3,8.5,7.9,1019.4,1019.4
2025-10-01 06:25:00+02:00,,,,,,8.4,92.0,7.2,8.4,7.8,1019.4,1019.4
2025-10-01 06:30:00+02:00,,,,,,8.4,92.0,7.2,8.4,7.7,1019.4,1019.4
2025-10-01 06:35:00+02:00,,,,,,8.4,92.0,7.1,8.4,7.7,1019.5,1019.5
2025-10-01 06:40:00+02:00,,,,,,8.3,92.0,7.1,8.3,7.6,1019.6,1019.6
2025-10-01 06:45:00+02:00,,,,,,8.3,92.0,7.1,8.3,7.6,1019.6,1019.6
2025-10-01 06:50:00+02:00,,,,,,8.3,92.0,7.1,8.3,7.6,1019.6,1019.6
2025-10-01 06:55:00+02:00,,,,,,8.2,92.0,7.0,8.2,7.5,1019.7,1019.7
2025-10-01 07:00:00+02:00,,,,,,8.2,92.0,7.0,8.2,7.5,1019.7,1019.7
2025-10-01 07:05:00+02:00,,,,,,8.2,92.0,7.0,8.2,7.5,1019.8,1019.8
2025-10-01 07:10:00+02:00,,,,,,8.1,92.0,6.9,8.1,7.4,1019.9,1019.9
2025-10-01 07:15:00+02:00,,,,,,8.1,92.0,6.9,8.1,7.4,1020.0,1020.0
2025-10-01 07:20:00+02:00,,,,,,8.1,92.0,6.8,8.1,7.3,1020.0,1020.0
2025-10-01 07:25:00+02:00,,,,,,8.0,92.0,6.8,8.0,7.3,1020.0,1020.0
2025-10-01 07:30:00+02:00,,,,,,8.0,92.0,6.8,8.0,7.3,1020.1,1020.1
2025-10-01 07:35:00+02:00,,,,,,7.9,92.0,6.7,7.9,7.1,1020.1,1020.1
2025-10-01 07:40:00+02:00,,,,,,7.9,92.0,6.7,7.9,7.1,1020.2,1020.2
2025-10-01 07:45:00+02:00,,,,,,7.9,92.0,6.7,7.9,7.1,1020.2,1020.2
2025-10-01 07:50:00+02:00,,,,,,7.9,92.0,6.6,7.8,7.1,1020.2,1020.2
2025-10-01 07:55:00+02:00,,,,,,7.8,92.0,6.6,7.8,7.0,1020.2,1020.2
2025-10-01 08:00:00+02:00,,,,,,7.8,92.0,6.6,7.8,7.0,1020.3,1020.3
2025-10-01 08:05:00+02:00,,,,,,7.8,92.0,6.6,7.8,7.0,1020.3,1020.3
2025-10-01 08:10:00+02:00,,,,,,7.8,92.0,6.6,7.8,7.0,1020.3,1020.3
2025-10-01 08:15:00+02:00,,,,,,7.7,92.0,6.5,7.7,6.9,1020.3,1020.3
2025-10-01 08:20:00+02:00,,,,,,7.7,92.0,6.5,7.7,6.9,1020.3,1020.3
2025-10-01 08:25:00+02:00,,,,,,7.7,92.0,6.5,7.7,6.9,1020.2,1020.2
2025-10-01 08:30:00+02:00,,,,,,7.7,92.0,6.5,7.7,6.9,1020.3,1020.3
2025-10-01 08:35:00+02:00,,,,,,7.7,92.0,6.5,7.7,6.9,1020.2,1020.2
2025-10-01 08:40:00+02:00,,,,,,7.8,92.0,6.6,7.8,7.0,1020.3,1020.3
2025-10-01 08:45:00+02:00,,,,,,7.8,93.0,6.7,7.8,7.0,1020.3,1020.3
2025-10-01 08:50:00+02:00,,,,,,7.8,93.0,6.7,7.8,7.1,1020.3,1020.3
2025-10-01 08:55:00+02:00,,,,,,7.8,93.0,6.7,7.8,7.1,1020.2,1020.2
2025-10-01 09:00:00+02:00,,,,,,7.8,93.0,6.8,7.8,7.1,1020.2,1020.2
2025-10-01 09:05:00+02:00,,,,,,7.9,93.0,6.8,7.9,7.1,1020.3,1020.3
2025-10-01 09:10:00+02:00,,,,,,7.9,93.0,6.8,7.9,7.2,1020.2,1020.2
2025-10-01 09:15:00+02:00,,,,,,7.9,93.0,6.8,7.9,7.2,1020.2,1020.2
2025-10-01 09:20:00+02:00,,,,,,8.0,93.0,6.9,8.0,7.3,1020.3,1020.3
2025-10-01 09:25:00+02:00,,,,,,8.0,93.0,6.9,8.0,7.3,1020.3,1020.3
2025-10-01 09:30:00+02:00,,,,,,8.0,93.0,6.9,8.0,7.3,1020.3,1020.3
2025-10-01 09:35:00+02:00,,,,,,8.1,93.0,7.0,8.1,7.3,1020.3,1020.3
2025-10-01 09:40:00+02:00,,,,,,8.1,93.0,7.1,8.1,7.4,1020.4,1020.4
2025-10-01 09:45:00+02:00,,,,,,8.1,93.0,7.1,8.1,7.4,1020.5,1020.5
2025-10-01 09:50:00+02:00,,,,,,8.1,93.0,7.1,8.2,7.5,1020.4,1020.4
2025-10-01 09:55:00+02:00,,,,,,8.2,93.0,7.1,8.2,7.6,1020.5,1020.5
2025-10-01 10:00:00+02:00,,,,,,8.2,93.0,7.1,8.2,7.6,1020.4,1020.4
2025-10-01 10:05:00+02:00,,,,,,8.3,93.0,7.2,8.3,7.7,1020.5,1020.5
2025-10-01 10:10:00+02:00,,,,,,8.3,94.0,7.4,8.3,7.7,1020.5,1020.5
2025-10-01 10:15:00+02:00,,,,,,8.4,94.0,7.5,8.4,7.8,1020.5,1020.5
2025-10-01 10:20:00+02:00,,,,,,8.4,94.0,7.5,8.4,7.8,1020.7,1020.7
2025-10-01 10:25:00+02:00,,,,,,8.5,94.0,7.6,8.5,7.9,1020.7,1020.7
2025-10-01 10:30:00+02:00,,,,,,8.5,94.0,7.6,8.5,7.9,1020.7,1020.7
2025-10-01 10:35:00+02:00,,,,,,8.6,94.0,7.7,8.6,8.0,1020.8,1020.8
2025-10-01 10:40:00+02:00,,,,,,8.6,94.0,7.7,8.6,8.1,1020.8,1020.8
2025-10-01 10:45:00+02:00,,,,,,8.7,94.0,7.8,8.7,8.2,1020.7,1020.7
2025-10-01 10:50:00+02:00,,,,,,8.7,94.0,7.8,8.7,8.2,1020.7,1020.7
2025-10-01 10:55:00+02:00,,,,,,8.8,94.0,7.9,8.8,8.4,1020.8,1020.8
2025-10-01 11:00:00+02:00,,,,,,8.9,94.0,8.0,8.9,8.5,1020.9,1020.9
2025-10-01 11:05:00+02:00,,,,,,9.1,94.0,8.1,9.1,8.6,1020.8,1020.8
2025-10-01 11:10:00+02:00,,,,,,9.2,94.0,8.3,9.2,8.8,1020.8,1020.8
2025-10-01 11:15:00+02:00,,,,,,9.3,94.0,8.4,9.3,9.0,1020.7,1020.7
2025-10-01 11:20:00+02:00,,,,,,9.5,94.0,8.6,9.5,9.2,1020.7,1020.7
2025-10-01 11:25:00+02:00,,,,,,9.8,94.0,8.9,9.8,9.5,1020.7,1020.7
2025-10-01 11:30:00+02:00,,,,,,10.1,94.0,9.1,10.1,9.9,1020.7,1020.7
2025-10-01 11:35:00+02:00,,,,,,10.4,94.0,9.5,10.4,10.3,1020.7,1020.7
2025-10-01 11:40:00+02:00,,,,,,10.6,94.0,9.7,10.6,10.6,1020.7,1020.7
2025-10-01 11:45:00+02:00,,,,,,10.9,94.0,10.0,10.9,10.9,1020.7,1020.7
2025-10-01 11:50:00+02:00,,,,,,11.2,94.0,10.2,11.2,11.3,1020.9,1020.9
