OBJECTID,Rechtswert,Hochwert,Kategorie,Adresse,Bezeichnun,Bezirk,Anzahl,Art,Stammdurch,Stammumfan,Anlass,Zeitpunkt,Bemerkunge
148,373737,5703118,Pflanzung,Engelsburger Strale, ,Wattenscheid,5,Walnussbhume, , , ,April 2019, 
149,383021,5703521,Faellung,Carl-von Ossietzky-Platz 2, ,Ost,2,Buche,70 - 80 cm:, ,Abgestorben: Abgaengig,Juni 19, 
150,377026,5703045,Faellung,Luxemburger Str., ,Sued,1, ,35 cm, ,abgestorben,Juni 19, 
151,376193,5708090,Faellung,Am Hausacker,Jugendfreizeit Haus,Mitte,4,Birken, , ,Baumannahme,Sep. 19, 
152,373503,5706408,Faellung,Karolinenstr. 108,Liegenschaft,Mitte,6,Pappel: Weide: Erelen: Robinien, , ,Verkehrssicherheitsdefizite, , 
153,376299,5703118,Faellung,Kanigsallee,Rechener Park,Mitte,3,Buchen, , ,abgestorben,Juli 19, 
154,370683,5698873,Faellung,Ruhrmuhle,Grhnanlage, ,12,Pappeln,60-80, ,Bauma,Oktober 2019, 
155,370743,370743,Faellung,Im Stapel,Forst, ,12,Buchen: Kirschen: Hainbuche, , ,abgestorben, ,5 SHulen-Eichen Ersatz
156,370875,370875,Faellung,Buemannsweg,Ehrenmal,Wattenscheid,26,div. Laubbiume, , ,BaumaLnahme,Oktober 2019,81 Brume Ersatz
157,380239,5708830,Faellung,Castroper Hellweg,Strarenbaum, ,1,Rosskastanie, , ,abgestorben, , 
158,374145,5705143,Faellung,Am frohen Blick,Kleingartenanlage, ,1,Christusdorn,35 cm, ,Verkehrssicherheitsdefizit,Sep. 19, 
159,382312,5703492,Faellung,Am Neggenborn,Kleingartenanlage, ,4,Mehlbeeren: Baumhasel, , ,Verkehrssicherheitsdefizite,Sept. 19, 
160,378103,5702930,Faellung,Steinkuhlstrale,Kleingartenanlage, ,1,Rosskastanie,38 cm, ,Verkehrssicherheitsdefizite,Sept. 19, 
161,376801,5706297,Faellung,GudrunstraOe,Strauenbaum,Mitte,3,Silberahorn, , ,Verkehrssicherheitsdefizit,Sept. 19, 
162,370745,5704979,Faellung,August-Bebel-Platz,Strasenbaum,Wattenscheid,1,Silberahorn,88 cm, ,Verkehrssicherheitsdefizite,Sept. 19, 
