datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum,year_month
2025-01-01 00:00:00,900415,Kuehlteich,51.48196,7.19709,75.907,3.528,75.563,9.937,,3.699,7.17,45.4,2025-01
2025-01-01 00:00:00,900415,Kuehlteich,51.48196,7.19709,75.907,3.528,75.563,9.937,,3.699,7.17,45.4,2025-01
2025-01-01 00:15:01,900415,Kuehlteich,51.48196,7.19709,75.908,3.541,76.07,10.003,,3.69,7.22,45.3,2025-01
2025-01-01 00:30:01,900415,Kuehlteich,51.48196,7.19709,75.909,3.563,75.801,9.968,,,,,2025-01
2025-01-01 00:45:01,900415,Kuehlteich,51.48196,7.19709,75.907,3.569,76.511,10.061,,,,,2025-01
2025-01-01 01:00:00,900415,Kuehlteich,51.48196,7.19709,75.909,3.581,77.945,10.25,,3.7,7.35,45.4,2025-01
2025-01-01 01:15:01,900415,Kuehlteich,51.48196,7.19709,75.91,3.547,78.514,10.325,,3.684,7.44,45.4,2025-01
2025-01-01 01:30:01,900415,Kuehlteich,51.48196,7.19709,75.907,3.653,79.198,10.415,,,,,2025-01
2025-01-01 01:45:01,900415,Kuehlteich,51.48196,7.19709,75.908,3.569,79.544,10.46,,,,,2025-01
2025-01-01 02:00:00,900415,Kuehlteich,51.48196,7.19709,75.905,3.541,79.171,10.411,,3.694,7.56,45.5,2025-01
2025-01-01 02:15:00,900415,Kuehlteich,51.48196,7.19709,75.908,3.547,79.418,10.444,,3.683,7.68,45.4,2025-01
2025-01-01 02:30:00,900415,Kuehlteich,51.48196,7.19709,75.907,3.566,78.813,10.364,,,,,2025-01
2025-01-01 02:45:00,900415,Kuehlteich,51.48196,7.19709,75.909,3.55,79.041,10.394,,,,,2025-01
2025-01-01 03:00:00,900415,Kuehlteich,51.48196,7.19709,75.907,3.538,78.804,10.363,,3.696,7.84,45.5,2025-01
2025-01-01 03:15:00,900415,Kuehlteich,51.48196,7.19709,75.908,3.566,77.827,10.235,,3.684,7.94,45.5,2025-01
2025-01-01 03:30:00,900415,Kuehlteich,51.48196,7.19709,75.906,3.591,77.891,10.243,,,,,2025-01
2025-01-01 03:45:00,900415,Kuehlteich,51.48196,7.19709,75.907,3.569,77.731,10.222,,,,,2025-01
2025-01-01 04:00:01,900415,Kuehlteich,51.48196,7.19709,75.907,3.506,79.018,10.392,,3.693,8.06,45.5,2025-01
2025-01-01 04:15:01,900415,Kuehlteich,51.48196,7.19709,75.907,3.566,78.986,10.387,,3.681,8.13,45.4,2025-01
2025-01-01 04:30:01,900415,Kuehlteich,51.48196,7.19709,75.905,3.547,79.106,10.403,,,,,2025-01
2025-01-01 04:45:01,900415,Kuehlteich,51.48196,7.19709,75.906,3.534,79.643,10.474,,,,,2025-01
2025-01-01 05:00:00,900415,Kuehlteich,51.48196,7.19709,75.908,3.538,79.531,10.459,,3.703,8.19,45.6,2025-01
2025-01-01 05:15:00,900415,Kuehlteich,51.48196,7.19709,75.909,3.544,80.047,10.527,,3.678,8.35,45.5,2025-01
2025-01-01 05:30:00,900415,Kuehlteich,51.48196,7.19709,75.905,3.569,80.303,10.561,,,,,2025-01
2025-01-01 05:45:00,900415,Kuehlteich,51.48196,7.19709,75.907,3.547,81.045,10.658,,,,,2025-01
2025-01-01 06:00:00,900415,Kuehlteich,51.48196,7.19709,75.906,3.534,82.23,10.814,,3.697,8.56,45.6,2025-01
2025-01-01 06:15:01,900415,Kuehlteich,51.48196,7.19709,75.907,3.547,82.685,10.874,,3.685,8.68,45.6,2025-01
2025-01-01 06:30:01,900415,Kuehlteich,51.48196,7.19709,75.905,3.641,82.318,10.826,,,,,2025-01
2025-01-01 06:45:01,900415,Kuehlteich,51.48196,7.19709,75.909,3.553,81.295,10.692,,,,,2025-01
2025-01-01 07:00:00,900415,Kuehlteich,51.48196,7.19709,75.907,3.544,82.147,10.803,,3.702,8.79,45.6,2025-01
2025-01-01 07:15:00,900415,Kuehlteich,51.48196,7.19709,75.909,3.544,83.005,10.916,,3.67,9.06,45.4,2025-01
2025-01-01 07:30:00,900415,Kuehlteich,51.48196,7.19709,75.901,3.528,82.992,10.915,,,,,2025-01
2025-01-01 07:45:00,900415,Kuehlteich,51.48196,7.19709,75.904,3.544,82.804,10.89,,,,,2025-01
2025-01-01 08:00:01,900415,Kuehlteich,51.48196,7.19709,75.909,3.519,83.169,10.938,,3.694,9.0,45.7,2025-01
2025-01-01 08:15:00,900415,Kuehlteich,51.48196,7.19709,75.904,3.55,83.07,10.925,,3.692,9.11,45.7,2025-01
2025-01-01 08:30:00,900415,Kuehlteich,51.48196,7.19709,75.901,3.547,83.491,10.98,,,,,2025-01
2025-01-01 08:45:00,900415,Kuehlteich,51.48196,7.19709,75.905,3.575,84.331,11.09,,,,,2025-01
2025-01-01 09:00:01,900415,Kuehlteich,51.48196,7.19709,75.904,3.547,83.585,10.992,,3.707,9.37,45.8,2025-01
2025-01-01 09:15:00,900415,Kuehlteich,51.48196,7.19709,75.905,3.534,82.508,10.851,,3.687,9.46,45.7,2025-01
2025-01-01 09:30:00,900415,Kuehlteich,51.48196,7.19709,75.909,3.541,82.986,10.914,,,,,2025-01
2025-01-01 09:45:00,900415,Kuehlteich,51.48196,7.19709,75.905,3.522,82.778,10.886,,,,,2025-01
2025-01-01 10:00:01,900415,Kuehlteich,51.48196,7.19709,75.904,3.534,82.483,10.847,,3.699,9.61,45.8,2025-01
2025-01-01 10:15:00,900415,Kuehlteich,51.48196,7.19709,75.905,3.541,83.654,11.001,,3.693,9.72,45.8,2025-01
2025-01-01 10:30:00,900415,Kuehlteich,51.48196,7.19709,75.9,3.531,84.1,11.059,,,,,2025-01
2025-01-01 10:45:00,900415,Kuehlteich,51.48196,7.19709,75.906,3.6,84.24,11.078,,,,,2025-01
2025-01-01 11:00:01,900415,Kuehlteich,51.48196,7.19709,75.905,3.569,84.235,11.077,,3.7,9.93,45.9,2025-01
2025-01-01 11:15:00,900415,Kuehlteich,51.48196,7.19709,75.902,3.569,84.3,11.085,,3.683,10.07,45.9,2025-01
2025-01-01 11:30:00,900415,Kuehlteich,51.48196,7.19709,75.903,3.566,83.828,11.023,,,,,2025-01
2025-01-01 11:45:00,900415,Kuehlteich,51.48196,7.19709,75.907,3.584,84.759,11.145,,,,,2025-01
2025-01-01 12:00:01,900415,Kuehlteich,51.48196,7.19709,75.901,3.572,84.672,11.133,,3.703,10.39,46.0,2025-01
2025-01-01 12:15:00,900415,Kuehlteich,51.48196,7.19709,75.904,3.603,84.002,11.045,,3.692,10.56,46.0,2025-01
2025-01-01 12:30:00,900415,Kuehlteich,51.48196,7.19709,75.903,3.609,84.424,11.1,,,,,2025-01
2025-01-01 12:45:00,900415,Kuehlteich,51.48196,7.19709,75.905,3.603,85.903,11.294,,,,,2025-01
2025-01-01 13:00:01,900415,Kuehlteich,51.48196,7.19709,75.902,3.656,86.827,11.415,,3.705,10.83,46.0,2025-01
2025-01-01 13:15:00,900415,Kuehlteich,51.48196,7.19709,75.903,3.594,86.671,11.395,,3.688,10.98,46.0,2025-01
2025-01-01 13:30:00,900415,Kuehlteich,51.48196,7.19709,75.899,3.594,86.827,11.415,,,,,2025-01
2025-01-01 13:45:00,900415,Kuehlteich,51.48196,7.19709,75.9,3.641,87.267,11.473,,,,,2025-01
2025-01-01 14:00:01,900415,Kuehlteich,51.48196,7.19709,75.903,3.656,86.585,11.383,,3.703,11.2,46.1,2025-01
2025-01-01 14:15:00,900415,Kuehlteich,51.48196,7.19709,75.901,3.666,87.604,11.517,,3.698,11.29,46.1,2025-01
2025-01-01 14:30:00,900415,Kuehlteich,51.48196,7.19709,75.905,3.672,87.965,11.564,,,,,2025-01
2025-01-01 14:45:00,900415,Kuehlteich,51.48196,7.19709,75.904,3.7,88.601,11.647,,,,,2025-01
2025-01-01 15:00:01,900415,Kuehlteich,51.48196,7.19709,75.904,3.653,88.413,11.623,,3.709,11.23,46.1,2025-01
2025-01-01 15:15:00,900415,Kuehlteich,51.48196,7.19709,75.904,3.672,87.72,11.531,,3.69,11.23,46.0,2025-01
2025-01-01 15:30:00,900415,Kuehlteich,51.48196,7.19709,75.897,3.65,88.135,11.586,,,,,2025-01
2025-01-01 15:45:00,900415,Kuehlteich,51.48196,7.19709,75.905,3.669,88.611,11.648,,,,,2025-01
2025-01-01 16:00:01,900415,Kuehlteich,51.48196,7.19709,75.902,3.656,87.864,11.55,,3.708,11.08,46.1,2025-01
2025-01-01 16:15:00,900415,Kuehlteich,51.48196,7.19709,75.907,3.65,88.375,11.617,,3.688,11.12,46.0,2025-01
2025-01-01 16:30:00,900415,Kuehlteich,51.48196,7.19709,75.9,3.694,88.081,11.578,,,,,2025-01
2025-01-01 16:45:00,900415,Kuehlteich,51.48196,7.19709,75.897,3.669,88.295,11.607,,,,,2025-01
2025-01-01 17:00:01,900415,Kuehlteich,51.48196,7.19709,75.907,3.659,88.423,11.623,,3.708,11.04,46.1,2025-01
2025-01-01 17:15:00,900415,Kuehlteich,51.48196,7.19709,75.91,3.672,88.75,11.666,,3.692,11.08,46.1,2025-01
2025-01-01 17:30:00,900415,Kuehlteich,51.48196,7.19709,75.913,3.641,88.209,11.595,,,,,2025-01
2025-01-01 17:45:00,900415,Kuehlteich,51.48196,7.19709,75.896,3.794,88.348,11.613,,,,,2025-01
2025-01-01 18:00:01,900415,Kuehlteich,51.48196,7.19709,75.907,3.7,87.927,11.558,,3.703,11.1,46.1,2025-01
2025-01-01 18:15:00,900415,Kuehlteich,51.48196,7.19709,75.901,3.691,87.884,11.552,,3.695,11.17,46.1,2025-01
2025-01-01 18:30:00,900415,Kuehlteich,51.48196,7.19709,75.902,3.731,87.776,11.537,,,,,2025-01
2025-01-01 18:45:00,900415,Kuehlteich,51.48196,7.19709,75.905,3.691,87.718,11.53,,,,,2025-01
2025-01-01 19:00:01,900415,Kuehlteich,51.48196,7.19709,75.904,3.697,87.26,11.47,,3.71,11.22,46.2,2025-01
2025-01-01 19:15:00,900415,Kuehlteich,51.48196,7.19709,75.897,3.691,87.862,11.549,,3.698,11.27,46.1,2025-01
2025-01-01 19:30:00,900415,Kuehlteich,51.48196,7.19709,75.899,3.756,87.075,11.445,,,,,2025-01
2025-01-01 19:45:00,900415,Kuehlteich,51.48196,7.19709,75.898,3.722,86.991,11.434,,,,,2025-01
2025-01-01 20:00:01,900415,Kuehlteich,51.48196,7.19709,75.905,3.716,87.247,11.467,,3.706,11.16,46.1,2025-01
2025-01-01 20:15:01,900415,Kuehlteich,51.48196,7.19709,75.899,3.719,87.18,11.459,,3.678,11.42,45.9,2025-01
2025-01-01 20:30:01,900415,Kuehlteich,51.48196,7.19709,75.9,3.713,87.137,11.452,,,,,2025-01
2025-01-01 20:45:01,900415,Kuehlteich,51.48196,7.19709,75.904,3.722,87.183,11.458,,,,,2025-01
2025-01-01 21:00:00,900415,Kuehlteich,51.48196,7.19709,75.902,3.869,86.926,11.424,,3.7,11.38,46.1,2025-01
2025-01-01 21:15:00,900415,Kuehlteich,51.48196,7.19709,75.899,3.741,86.021,11.305,,3.692,11.35,46.1,2025-01
2025-01-01 21:30:00,900415,Kuehlteich,51.48196,7.19709,75.899,3.794,85.236,11.203,,,,,2025-01
2025-01-01 21:45:00,900415,Kuehlteich,51.48196,7.19709,75.904,3.775,83.581,10.985,,,,,2025-01
2025-01-01 22:00:00,900415,Kuehlteich,51.48196,7.19709,75.904,3.781,83.257,10.942,,3.707,11.01,46.1,2025-01
2025-01-01 22:15:01,900415,Kuehlteich,51.48196,7.19709,75.905,3.788,82.675,10.865,,3.694,10.96,46.1,2025-01
2025-01-01 22:30:01,900415,Kuehlteich,51.48196,7.19709,75.907,3.775,81.738,10.742,,,,,2025-01
2025-01-01 22:45:01,900415,Kuehlteich,51.48196,7.19709,75.908,3.838,81.564,10.718,,,,,2025-01
2025-01-01 23:00:00,900415,Kuehlteich,51.48196,7.19709,75.909,3.8,81.082,10.655,,3.712,10.65,46.0,2025-01
2025-01-01 23:15:01,900415,Kuehlteich,51.48196,7.19709,75.909,3.797,80.253,10.546,,3.692,10.51,46.0,2025-01
2025-01-01 23:30:01,900415,Kuehlteich,51.48196,7.19709,75.91,3.825,79.548,10.453,,,,,2025-01
2025-01-01 23:45:01,900415,Kuehlteich,51.48196,7.19709,75.91,3.813,78.646,10.335,,,,,2025-01
2025-01-02 00:00:00,900415,Kuehlteich,51.48196,7.19709,75.912,3.8,77.876,10.234,,3.705,10.06,46.0,2025-01
2025-01-02 00:00:00,900415,Kuehlteich,51.48196,7.19709,75.912,3.8,77.876,10.234,,3.705,10.06,46.0,2025-01
2025-01-02 00:15:01,900415,Kuehlteich,51.48196,7.19709,75.912,3.769,77.826,10.227,,3.698,9.98,45.9,2025-01
2025-01-02 00:30:01,900415,Kuehlteich,51.48196,7.19709,75.914,3.828,77.345,10.164,,,,,2025-01
2025-01-02 00:45:01,900415,Kuehlteich,51.48196,7.19709,75.914,3.781,77.282,10.155,,,,,2025-01
2025-01-02 01:00:00,900415,Kuehlteich,51.48196,7.19709,75.916,3.797,77.241,10.15,,3.704,9.37,45.9,2025-01
2025-01-02 01:15:01,900415,Kuehlteich,51.48196,7.19709,75.916,3.813,77.119,10.134,,3.69,9.18,45.8,2025-01
2025-01-02 01:30:01,900415,Kuehlteich,51.48196,7.19709,75.918,3.847,76.706,10.08,,,,,2025-01
2025-01-02 01:45:01,900415,Kuehlteich,51.48196,7.19709,75.919,3.825,76.233,10.017,,,,,2025-01
2025-01-02 02:00:00,900415,Kuehlteich,51.48196,7.19709,75.92,3.838,75.765,9.957,,3.703,8.67,45.8,2025-01
2025-01-02 02:15:01,900415,Kuehlteich,51.48196,7.19709,75.92,3.816,75.357,9.903,,3.687,8.59,45.8,2025-01
2025-01-02 02:30:01,900415,Kuehlteich,51.48196,7.19709,75.92,3.809,74.865,9.838,,,,,2025-01
2025-01-02 02:45:01,900415,Kuehlteich,51.48196,7.19709,75.92,3.853,74.246,9.757,,,,,2025-01
2025-01-02 03:00:00,900415,Kuehlteich,51.48196,7.19709,75.922,3.794,73.657,9.68,,3.7,8.32,45.8,2025-01
2025-01-02 03:15:01,900415,Kuehlteich,51.48196,7.19709,75.923,3.819,73.076,9.603,,3.692,8.29,45.8,2025-01
2025-01-02 03:30:01,900415,Kuehlteich,51.48196,7.19709,75.923,3.806,71.874,9.445,,,,,2025-01
2025-01-02 03:45:01,900415,Kuehlteich,51.48196,7.19709,75.923,3.838,70.866,9.313,,,,,2025-01
2025-01-02 04:00:00,900415,Kuehlteich,51.48196,7.19709,75.925,3.969,70.381,9.249,,3.703,8.11,45.8,2025-01
2025-01-02 04:15:00,900415,Kuehlteich,51.48196,7.19709,75.924,3.819,69.623,9.149,,3.692,8.1,45.7,2025-01
2025-01-02 04:30:00,900415,Kuehlteich,51.48196,7.19709,75.925,3.809,69.14,9.086,,,,,2025-01
2025-01-02 04:45:00,900415,Kuehlteich,51.48196,7.19709,75.925,3.831,68.88,9.052,,,,,2025-01
2025-01-02 05:00:01,900415,Kuehlteich,51.48196,7.19709,75.925,3.803,68.228,8.966,,3.706,7.9,45.7,2025-01
2025-01-02 05:15:01,900415,Kuehlteich,51.48196,7.19709,75.925,3.759,67.771,8.906,,3.681,7.94,45.6,2025-01
2025-01-02 05:30:01,900415,Kuehlteich,51.48196,7.19709,75.925,3.791,67.284,8.843,,,,,2025-01
2025-01-02 05:45:01,900415,Kuehlteich,51.48196,7.19709,75.926,3.766,66.858,8.787,,,,,2025-01
2025-01-02 06:00:00,900415,Kuehlteich,51.48196,7.19709,75.925,3.772,66.435,8.731,,3.698,7.82,45.7,2025-01
2025-01-02 06:15:01,900415,Kuehlteich,51.48196,7.19709,75.925,3.784,65.835,8.652,,3.689,7.85,45.7,2025-01
2025-01-02 06:30:01,900415,Kuehlteich,51.48196,7.19709,75.926,3.772,65.261,8.577,,,,,2025-01
2025-01-02 06:45:01,900415,Kuehlteich,51.48196,7.19709,75.925,3.788,64.565,8.486,,,,,2025-01
2025-01-02 07:00:00,900415,Kuehlteich,51.48196,7.19709,75.925,3.794,63.919,8.4,,3.701,7.76,45.7,2025-01
2025-01-02 07:15:00,900415,Kuehlteich,51.48196,7.19709,75.925,3.806,63.342,8.324,,3.681,7.81,45.6,2025-01
2025-01-02 07:30:00,900415,Kuehlteich,51.48196,7.19709,75.925,3.806,62.656,8.235,,,,,2025-01
2025-01-02 07:45:00,900415,Kuehlteich,51.48196,7.19709,75.926,3.784,62.123,8.165,,,,,2025-01
2025-01-02 08:00:01,900415,Kuehlteich,51.48196,7.19709,75.925,3.744,61.758,8.116,,3.698,7.76,45.7,2025-01
2025-01-02 08:15:00,900415,Kuehlteich,51.48196,7.19709,75.926,3.763,60.991,8.016,,3.69,7.8,45.6,2025-01
2025-01-02 08:30:00,900415,Kuehlteich,51.48196,7.19709,75.926,3.781,60.302,7.925,,,,,2025-01
2025-01-02 08:45:00,900415,Kuehlteich,51.48196,7.19709,75.927,3.794,59.742,7.851,,,,,2025-01
2025-01-02 09:00:01,900415,Kuehlteich,51.48196,7.19709,75.927,3.769,59.086,7.766,,3.696,7.67,45.6,2025-01
2025-01-02 09:15:00,900415,Kuehlteich,51.48196,7.19709,75.926,3.775,58.584,7.7,,3.682,7.66,45.6,2025-01
2025-01-02 09:30:00,900415,Kuehlteich,51.48196,7.19709,75.927,3.756,57.815,7.599,,,,,2025-01
2025-01-02 09:45:00,900415,Kuehlteich,51.48196,7.19709,75.926,3.791,57.399,7.544,,,,,2025-01
2025-01-02 10:00:01,900415,Kuehlteich,51.48196,7.19709,75.927,3.791,57.064,7.5,,3.698,7.53,45.6,2025-01
2025-01-02 10:15:01,900415,Kuehlteich,51.48196,7.19709,75.927,3.772,56.497,7.426,,3.685,7.59,45.6,2025-01
2025-01-02 10:30:01,900415,Kuehlteich,51.48196,7.19709,75.927,3.744,56.085,7.372,,,,,2025-01
2025-01-02 10:45:01,900415,Kuehlteich,51.48196,7.19709,75.927,3.906,55.557,7.302,,,,,2025-01
2025-01-02 11:00:00,900415,Kuehlteich,51.48196,7.19709,75.927,3.731,55.119,7.245,,3.702,7.73,45.7,2025-01
2025-01-02 11:15:01,900415,Kuehlteich,51.48196,7.19709,75.927,3.791,54.942,7.221,,3.694,7.86,45.7,2025-01
2025-01-02 11:30:01,900415,Kuehlteich,51.48196,7.19709,75.925,3.741,54.638,7.181,,,,,2025-01
2025-01-02 11:45:01,900415,Kuehlteich,51.48196,7.19709,75.927,3.744,54.43,7.154,,,,,2025-01
2025-01-02 12:00:00,900415,Kuehlteich,51.48196,7.19709,75.928,3.728,54.294,7.136,,3.698,8.14,45.8,2025-01
2025-01-02 12:15:01,900415,Kuehlteich,51.48196,7.19709,75.927,3.716,54.036,7.102,,3.693,8.29,45.7,2025-01
2025-01-02 12:30:01,900415,Kuehlteich,51.48196,7.19709,75.928,3.741,53.877,7.081,,,,,2025-01
2025-01-02 12:45:01,900415,Kuehlteich,51.48196,7.19709,75.927,3.728,53.737,7.063,,,,,2025-01
2025-01-02 13:00:00,900415,Kuehlteich,51.48196,7.19709,75.928,3.725,53.556,7.039,,3.698,8.54,45.8,2025-01
2025-01-02 13:15:01,900415,Kuehlteich,51.48196,7.19709,75.928,3.766,53.672,7.054,,3.691,8.63,45.8,2025-01
2025-01-02 13:30:01,900415,Kuehlteich,51.48196,7.19709,75.928,3.747,53.97,7.093,,,,,2025-01
2025-01-02 13:45:01,900415,Kuehlteich,51.48196,7.19709,75.927,3.747,54.039,7.102,,,,,2025-01
2025-01-02 14:00:00,900415,Kuehlteich,51.48196,7.19709,75.928,3.741,54.522,7.166,,3.707,8.63,45.8,2025-01
2025-01-02 14:15:01,900415,Kuehlteich,51.48196,7.19709,75.928,3.772,54.643,7.182,,3.692,8.73,45.8,2025-01
2025-01-02 14:30:01,900415,Kuehlteich,51.48196,7.19709,75.927,3.738,54.978,7.226,,,,,2025-01
2025-01-02 14:45:01,900415,Kuehlteich,51.48196,7.19709,75.927,3.772,55.372,7.277,,,,,2025-01
2025-01-02 15:00:00,900415,Kuehlteich,51.48196,7.19709,75.928,3.738,55.813,7.335,,3.708,8.96,45.9,2025-01
2025-01-02 15:15:01,900415,Kuehlteich,51.48196,7.19709,75.928,3.766,56.223,7.389,,3.689,8.98,45.8,2025-01
2025-01-02 15:30:01,900415,Kuehlteich,51.48196,7.19709,75.928,3.794,56.653,7.445,,,,,2025-01
2025-01-02 15:45:01,900415,Kuehlteich,51.48196,7.19709,75.928,3.909,57.131,7.508,,,,,2025-01
2025-01-02 16:00:00,900415,Kuehlteich,51.48196,7.19709,75.928,3.759,57.731,7.587,,3.703,8.57,45.8,2025-01
2025-01-02 16:15:01,900415,Kuehlteich,51.48196,7.19709,75.928,3.797,57.815,7.598,,3.676,8.61,45.4,2025-01
2025-01-02 16:30:01,900415,Kuehlteich,51.48196,7.19709,75.928,3.941,58.482,7.686,,,,,2025-01
2025-01-02 16:45:01,900415,Kuehlteich,51.48196,7.19709,75.928,3.772,59.085,7.765,,,,,2025-01
2025-01-02 17:00:00,900415,Kuehlteich,51.48196,7.19709,75.928,3.8,59.452,7.813,,3.7,7.81,45.6,2025-01
2025-01-02 17:15:00,900415,Kuehlteich,51.48196,7.19709,75.929,3.744,59.899,7.872,,3.686,7.6,45.5,2025-01
2025-01-02 17:30:00,900415,Kuehlteich,51.48196,7.19709,75.928,3.784,60.245,7.917,,,,,2025-01
2025-01-02 17:45:00,900415,Kuehlteich,51.48196,7.19709,75.928,3.763,60.312,7.926,,,,,2025-01
2025-01-02 18:00:00,900415,Kuehlteich,51.48196,7.19709,75.928,3.772,59.957,7.88,,3.701,6.88,45.5,2025-01
2025-01-02 18:15:01,900415,Kuehlteich,51.48196,7.19709,75.93,3.784,59.943,7.878,,3.684,6.75,45.5,2025-01
2025-01-02 18:30:01,900415,Kuehlteich,51.48196,7.19709,75.928,3.928,59.532,7.824,,,,,2025-01
2025-01-02 18:45:01,900415,Kuehlteich,51.48196,7.19709,75.928,3.75,59.03,7.758,,,,,2025-01
2025-01-02 19:00:00,900415,Kuehlteich,51.48196,7.19709,75.929,3.769,58.678,7.712,,3.701,6.5,45.5,2025-01
2025-01-02 19:15:00,900415,Kuehlteich,51.48196,7.19709,75.928,3.763,58.138,7.641,,3.678,6.5,45.4,2025-01
2025-01-02 19:30:00,900415,Kuehlteich,51.48196,7.19709,75.928,3.756,57.832,7.601,,,,,2025-01
2025-01-02 19:45:00,900415,Kuehlteich,51.48196,7.19709,75.929,3.806,57.293,7.53,,,,,2025-01
2025-01-02 20:00:01,900415,Kuehlteich,51.48196,7.19709,75.929,3.75,56.764,7.461,,3.693,6.18,45.4,2025-01
2025-01-02 20:15:00,900415,Kuehlteich,51.48196,7.19709,75.929,3.772,56.453,7.42,,3.68,6.13,45.3,2025-01
2025-01-02 20:30:00,900415,Kuehlteich,51.48196,7.19709,75.929,3.788,55.898,7.347,,,,,2025-01
2025-01-02 20:45:00,900415,Kuehlteich,51.48196,7.19709,75.93,3.747,55.746,7.327,,,,,2025-01
2025-01-02 21:00:01,900415,Kuehlteich,51.48196,7.19709,75.929,3.784,55.171,7.252,,3.691,5.79,45.4,2025-01
2025-01-02 21:15:00,900415,Kuehlteich,51.48196,7.19709,75.928,3.744,55.052,7.236,,3.681,5.74,45.3,2025-01
2025-01-02 21:30:00,900415,Kuehlteich,51.48196,7.19709,75.929,3.856,54.674,7.186,,,,,2025-01
2025-01-02 21:45:00,900415,Kuehlteich,51.48196,7.19709,75.929,3.872,54.524,7.167,,,,,2025-01
2025-01-02 22:00:01,900415,Kuehlteich,51.48196,7.19709,75.928,3.722,54.382,7.149,,3.692,5.32,45.2,2025-01
2025-01-02 22:15:00,900415,Kuehlteich,51.48196,7.19709,75.93,3.756,54.067,7.107,,3.68,5.24,45.2,2025-01
2025-01-02 22:30:00,900415,Kuehlteich,51.48196,7.19709,75.928,3.731,53.95,7.092,,,,,2025-01
2025-01-02 22:45:00,900415,Kuehlteich,51.48196,7.19709,75.929,3.722,53.685,7.057,,,,,2025-01
2025-01-02 23:00:01,900415,Kuehlteich,51.48196,7.19709,75.929,3.722,53.456,7.027,,3.692,4.95,45.2,2025-01
2025-01-02 23:15:00,900415,Kuehlteich,51.48196,7.19709,75.929,3.744,53.068,6.976,,3.679,4.94,45.1,2025-01
2025-01-02 23:30:00,900415,Kuehlteich,51.48196,7.19709,75.929,3.697,52.62,6.917,,,,,2025-01
2025-01-02 23:45:00,900415,Kuehlteich,51.48196,7.19709,75.929,3.731,52.322,6.878,,,,,2025-01
2025-01-03 00:00:01,900415,Kuehlteich,51.48196,7.19709,75.929,3.753,51.827,6.813,,3.688,4.73,45.2,2025-01
2025-01-03 00:00:01,900415,Kuehlteich,51.48196,7.19709,75.929,3.753,51.827,6.813,,3.688,4.73,45.2,2025-01
2025-01-03 00:15:00,900415,Kuehlteich,51.48196,7.19709,75.929,3.703,51.24,6.736,,3.677,4.74,45.1,2025-01
2025-01-03 00:30:00,900415,Kuehlteich,51.48196,7.19709,75.929,3.703,50.681,6.662,,,,,2025-01
2025-01-03 00:45:00,900415,Kuehlteich,51.48196,7.19709,75.929,3.691,50.302,6.613,,,,,2025-01
2025-01-03 01:00:01,900415,Kuehlteich,51.48196,7.19709,75.929,3.694,49.884,6.558,,3.693,4.65,45.2,2025-01
2025-01-03 01:15:00,900415,Kuehlteich,51.48196,7.19709,75.927,3.684,49.498,6.507,,3.682,4.72,45.1,2025-01
2025-01-03 01:30:00,900415,Kuehlteich,51.48196,7.19709,75.929,3.638,49.158,6.463,,,,,2025-01
2025-01-03 01:45:00,900415,Kuehlteich,51.48196,7.19709,75.929,3.681,49.028,6.446,,,,,2025-01
2025-01-03 02:00:01,900415,Kuehlteich,51.48196,7.19709,75.928,3.659,48.691,6.402,,3.696,4.86,45.2,2025-01
2025-01-03 02:15:01,900415,Kuehlteich,51.48196,7.19709,75.929,3.769,48.626,6.393,,3.676,4.97,45.1,2025-01
2025-01-03 02:30:01,900415,Kuehlteich,51.48196,7.19709,75.928,3.619,48.442,6.369,,,,,2025-01
2025-01-03 02:45:01,900415,Kuehlteich,51.48196,7.19709,75.929,3.584,48.33,6.354,,,,,2025-01
2025-01-03 03:00:00,900415,Kuehlteich,51.48196,7.19709,75.928,3.628,47.945,6.303,,3.692,5.01,45.2,2025-01
2025-01-03 03:15:00,900415,Kuehlteich,51.48196,7.19709,75.929,3.647,47.834,6.289,,3.665,5.29,44.9,2025-01
2025-01-03 03:30:00,900415,Kuehlteich,51.48196,7.19709,75.928,3.625,47.958,6.305,,,,,2025-01
2025-01-03 03:45:00,900415,Kuehlteich,51.48196,7.19709,75.929,3.644,48.083,6.322,,,,,2025-01
2025-01-03 04:00:00,900415,Kuehlteich,51.48196,7.19709,75.927,3.603,48.075,6.321,,3.682,5.35,45.2,2025-01
2025-01-03 04:15:01,900415,Kuehlteich,51.48196,7.19709,75.928,3.588,48.499,6.377,,3.678,5.48,45.2,2025-01
2025-01-03 04:30:01,900415,Kuehlteich,51.48196,7.19709,75.928,3.656,48.953,6.437,,,,,2025-01
2025-01-03 04:45:01,900415,Kuehlteich,51.48196,7.19709,75.928,3.603,49.592,6.521,,,,,2025-01
2025-01-03 05:00:00,900415,Kuehlteich,51.48196,7.19709,75.928,3.622,50.159,6.596,,3.685,5.58,45.2,2025-01
2025-01-03 05:15:00,900415,Kuehlteich,51.48196,7.19709,75.927,3.622,50.708,6.668,,3.681,5.66,45.2,2025-01
2025-01-03 05:30:00,900415,Kuehlteich,51.48196,7.19709,75.929,3.597,51.328,6.749,,,,,2025-01
2025-01-03 05:45:00,900415,Kuehlteich,51.48196,7.19709,75.927,3.728,52.203,6.864,,,,,2025-01
