datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2024-01-03 09:15:00,900372,Kaiseraueteich,51.50069,7.22947,79.686,7.013,73.103,8.734,949,3.662,12.42,20
2024-01-03 09:30:00,900372,Kaiseraueteich,51.50069,7.22947,79.689,7.041,73.548,8.783,953,,,
2024-01-03 09:45:00,900372,Kaiseraueteich,51.50069,7.22947,79.693,7.044,74.565,8.905,943,,,
2024-01-03 10:00:00,900372,Kaiseraueteich,51.50069,7.22947,79.712,7,74.81,8.933,955,3.684,12.11,20
2024-01-03 10:15:01,900372,Kaiseraueteich,51.50069,7.22947,79.711,7.053,74.465,8.891,954,3.662,12.06,19.9
2024-01-03 10:30:01,900372,Kaiseraueteich,51.50069,7.22947,79.719,7.031,75.004,8.955,960,,,
2024-01-03 10:45:01,900372,Kaiseraueteich,51.50069,7.22947,79.726,7.038,73.633,8.791,950,,,
2024-01-03 11:00:00,900372,Kaiseraueteich,51.50069,7.22947,79.737,7.038,74.259,8.865,953,3.689,11.92,20
2024-01-03 11:15:00,900372,Kaiseraueteich,51.50069,7.22947,79.737,7.063,74.003,8.831,953,3.671,12.01,19.9
2024-01-03 11:30:00,900372,Kaiseraueteich,51.50069,7.22947,79.748,7.028,74.635,8.904,955,,,
2024-01-03 11:45:00,900372,Kaiseraueteich,51.50069,7.22947,79.753,7.069,75.469,8.996,952,,,
2024-01-03 12:00:00,900372,Kaiseraueteich,51.50069,7.22947,79.756,7.134,75.518,8.998,956,3.686,12.21,20
2024-01-03 12:15:00,900372,Kaiseraueteich,51.50069,7.22947,79.763,7.144,75.168,8.953,962,3.667,12.5,20
2024-01-03 12:30:00,900372,Kaiseraueteich,51.50069,7.22947,79.773,7.097,75.422,8.983,958,,,
2024-01-03 12:45:00,900372,Kaiseraueteich,51.50069,7.22947,79.78,7.128,75.806,9.02,959,,,
2024-01-03 13:00:00,900372,Kaiseraueteich,51.50069,7.22947,79.781,7.159,76.045,9.048,959,3.689,12.95,20.1
2024-01-03 13:15:00,900372,Kaiseraueteich,51.50069,7.22947,79.787,7.172,75.802,9.018,951,3.67,13.15,20.1
2024-01-03 13:30:00,900372,Kaiseraueteich,51.50069,7.22947,79.793,7.163,76.343,9.077,961,,,
2024-01-03 13:45:00,900372,Kaiseraueteich,51.50069,7.22947,79.801,7.197,75.812,9.009,955,,,
2024-01-03 14:00:00,900372,Kaiseraueteich,51.50069,7.22947,79.801,7.203,76.762,9.117,959,3.684,13.61,20.2
2024-01-03 14:15:00,900372,Kaiseraueteich,51.50069,7.22947,79.804,7.203,76.28,9.06,959,3.67,13.73,20.1
2024-01-03 14:30:00,900372,Kaiseraueteich,51.50069,7.22947,79.809,7.241,75.593,8.979,951,,,
2024-01-03 14:45:00,900372,Kaiseraueteich,51.50069,7.22947,79.817,7.2,76.018,9.03,959,,,
2024-01-03 15:00:00,900372,Kaiseraueteich,51.50069,7.22947,79.819,7.219,76.019,9.03,961,3.692,12.96,20.1
2024-01-03 15:15:00,900372,Kaiseraueteich,51.50069,7.22947,79.822,7.241,75.817,9.006,969,3.675,12.83,20
2024-01-03 15:30:00,900372,Kaiseraueteich,51.50069,7.22947,79.822,7.266,75.428,8.962,953,,,
2024-01-03 15:45:00,900372,Kaiseraueteich,51.50069,7.22947,79.83,7.219,75.284,8.945,948,,,
2024-01-03 16:00:00,900372,Kaiseraueteich,51.50069,7.22947,79.833,7.216,74.892,8.897,957,3.689,12.22,20
2024-01-03 16:15:00,900372,Kaiseraueteich,51.50069,7.22947,79.836,7.234,74.962,8.905,954,3.67,12.19,20
2024-01-03 16:30:00,900372,Kaiseraueteich,51.50069,7.22947,79.841,7.213,74.237,8.819,960,,,
2024-01-03 16:45:00,900372,Kaiseraueteich,51.50069,7.22947,79.844,7.184,74.098,8.805,957,,,
2024-01-03 17:00:00,900372,Kaiseraueteich,51.50069,7.22947,79.846,7.238,72.22,8.584,958,3.681,12,20
2024-01-03 17:15:01,900372,Kaiseraueteich,51.50069,7.22947,79.851,7.228,71.613,8.513,963,3.666,12.05,19.9
2024-01-03 17:30:01,900372,Kaiseraueteich,51.50069,7.22947,79.855,7.197,71.042,8.446,955,,,
2024-01-03 17:45:01,900372,Kaiseraueteich,51.50069,7.22947,79.856,7.194,72.678,8.641,945,,,
2024-01-03 18:00:00,900372,Kaiseraueteich,51.50069,7.22947,79.859,7.2,73.541,8.744,960,3.689,11.78,19.9
2024-01-03 18:15:01,900372,Kaiseraueteich,51.50069,7.22947,79.857,7.228,73.903,8.789,931,3.663,11.67,19.9
2024-01-03 18:30:01,900372,Kaiseraueteich,51.50069,7.22947,79.858,7.234,73.507,8.743,956,,,
2024-01-03 18:45:01,900372,Kaiseraueteich,51.50069,7.22947,79.857,7.166,73.59,8.753,949,,,
2024-01-03 19:00:00,900372,Kaiseraueteich,51.50069,7.22947,79.853,7.169,73.674,8.764,929,3.686,11.23,19.9
2024-01-03 19:15:00,900372,Kaiseraueteich,51.50069,7.22947,79.851,7.166,74.624,8.88,935,3.665,11.22,19.9
2024-01-03 19:30:00,900372,Kaiseraueteich,51.50069,7.22947,79.85,7.194,74.723,8.891,906,,,
2024-01-03 19:45:00,900372,Kaiseraueteich,51.50069,7.22947,79.848,7.209,74.077,8.814,930,,,
2024-01-03 20:00:00,900372,Kaiseraueteich,51.50069,7.22947,79.845,7.175,74.266,8.837,897,3.686,11.02,19.8
2024-01-03 20:15:01,900372,Kaiseraueteich,51.50069,7.22947,79.841,7.203,73.488,8.744,959,3.668,11.05,19.8
2024-01-03 20:30:01,900372,Kaiseraueteich,51.50069,7.22947,79.84,7.172,71.861,8.551,920,,,
2024-01-03 20:45:01,900372,Kaiseraueteich,51.50069,7.22947,79.836,7.2,70.684,8.41,951,,,
2024-01-03 21:00:00,900372,Kaiseraueteich,51.50069,7.22947,79.834,7.181,70.345,8.371,937,3.684,11.05,19.8
2024-01-03 21:15:00,900372,Kaiseraueteich,51.50069,7.22947,79.833,7.147,64.811,7.719,952,3.668,11.18,19.8
2024-01-03 21:30:00,900372,Kaiseraueteich,51.50069,7.22947,79.83,7.1,65.875,7.849,914,,,
2024-01-03 21:45:00,900372,Kaiseraueteich,51.50069,7.22947,79.829,7.1,69.364,8.267,910,,,
2024-01-03 22:00:00,900372,Kaiseraueteich,51.50069,7.22947,79.827,7.113,72.381,8.621,911,3.676,11.36,19.9
2024-01-03 22:15:01,900372,Kaiseraueteich,51.50069,7.22947,79.828,7.178,73.574,8.754,910,3.663,11.49,19.9
2024-01-03 22:30:01,900372,Kaiseraueteich,51.50069,7.22947,79.826,7.2,74.684,8.883,911,,,
2024-01-03 22:45:01,900372,Kaiseraueteich,51.50069,7.22947,79.824,7.159,73.33,8.721,927,,,
