datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,pressure_relative,pressure_absolute
2025-02-09 06:50:00+01:00,,,,,,2.7,80.0,1011.8,1011.8
2025-02-09 06:55:00+01:00,,,,,,2.6,80.0,1011.9,1011.9
2025-02-09 07:00:00+01:00,,,,,,2.6,80.0,1011.9,1011.9
2025-02-09 07:05:00+01:00,,,,,,2.6,80.0,1012.0,1012.0
2025-02-09 07:10:00+01:00,,,,,,2.5,80.0,1012.1,1012.1
2025-02-09 07:15:00+01:00,,,,,,2.5,80.0,1012.2,1012.2
2025-02-09 07:20:00+01:00,,,,,,2.5,80.0,1012.2,1012.2
2025-02-09 07:25:00+01:00,,,,,,2.5,80.0,1012.1,1012.1
2025-02-09 07:30:00+01:00,,,,,,2.4,80.0,1012.1,1012.1
2025-02-09 07:35:00+01:00,,,,,,2.4,80.0,1012.0,1012.0
2025-02-09 07:40:00+01:00,,,,,,2.4,80.0,1012.2,1012.2
2025-02-09 07:45:00+01:00,,,,,,2.3,80.0,1012.0,1012.0
2025-02-09 07:50:00+01:00,,,,,,2.3,80.0,1012.0,1012.0
2025-02-09 07:55:00+01:00,,,,,,2.3,80.0,1012.0,1012.0
2025-02-09 08:00:00+01:00,,,,,,2.3,80.0,1012.0,1012.0
2025-02-09 08:05:00+01:00,,,,,,2.2,80.0,1012.1,1012.1
2025-02-09 08:10:00+01:00,,,,,,2.2,80.0,1012.3,1012.3
2025-02-09 08:15:00+01:00,,,,,,2.2,80.0,1012.3,1012.3
2025-02-09 08:20:00+01:00,,,,,,2.2,80.0,1012.5,1012.5
2025-02-09 08:25:00+01:00,,,,,,2.1,80.0,1012.6,1012.6
2025-02-09 08:30:00+01:00,,,,,,2.1,80.0,1012.6,1012.6
2025-02-09 08:35:00+01:00,,,,,,2.1,80.0,1012.6,1012.6
2025-02-09 08:40:00+01:00,,,,,,2.1,80.0,1012.6,1012.6
2025-02-09 08:45:00+01:00,,,,,,2.1,80.0,1012.6,1012.6
2025-02-09 08:50:00+01:00,,,,,,2.1,81.0,1012.6,1012.6
2025-02-09 08:55:00+01:00,,,,,,2.1,81.0,1012.6,1012.6
2025-02-09 09:00:00+01:00,,,,,,2.0,81.0,1012.6,1012.6
2025-02-09 09:05:00+01:00,,,,,,2.0,81.0,1012.7,1012.7
2025-02-09 09:10:00+01:00,,,,,,2.0,81.0,1012.6,1012.6
2025-02-09 09:15:00+01:00,,,,,,2.0,81.0,1012.7,1012.7
2025-02-09 09:20:00+01:00,,,,,,2.0,81.0,1012.8,1012.8
2025-02-09 09:25:00+01:00,,,,,,2.0,81.0,1012.9,1012.9
2025-02-09 09:30:00+01:00,,,,,,2.1,81.0,1012.9,1012.9
2025-02-09 09:35:00+01:00,,,,,,2.1,81.0,1013.0,1013.0
2025-02-09 09:40:00+01:00,,,,,,2.1,81.0,1013.2,1013.2
2025-02-09 09:45:00+01:00,,,,,,2.1,81.0,1013.2,1013.2
2025-02-09 09:50:00+01:00,,,,,,2.1,81.0,1013.3,1013.3
2025-02-09 09:55:00+01:00,,,,,,2.1,82.0,1013.4,1013.4
2025-02-09 10:00:00+01:00,,,,,,2.2,82.0,1013.3,1013.3
2025-02-09 10:05:00+01:00,,,,,,2.2,82.0,1013.3,1013.3
2025-02-09 10:10:00+01:00,,,,,,2.2,82.0,1013.3,1013.3
2025-02-09 10:15:00+01:00,,,,,,2.3,82.0,1013.4,1013.4
2025-02-09 10:20:00+01:00,,,,,,2.3,82.0,1013.4,1013.4
2025-02-09 10:25:00+01:00,,,,,,2.3,82.0,1013.5,1013.5
2025-02-09 10:30:00+01:00,,,,,,2.4,82.0,1013.5,1013.5
2025-02-09 10:35:00+01:00,,,,,,2.4,82.0,1013.7,1013.7
2025-02-09 10:40:00+01:00,,,,,,2.4,83.0,1013.6,1013.6
2025-02-09 10:45:00+01:00,,,,,,2.5,83.0,1013.7,1013.7
2025-02-09 10:50:00+01:00,,,,,,2.5,83.0,1013.7,1013.7
2025-02-09 10:55:00+01:00,,,,,,2.6,83.0,1013.8,1013.8
2025-02-09 11:00:00+01:00,,,,,,2.6,83.0,1013.7,1013.7
2025-02-09 11:05:00+01:00,,,,,,2.7,83.0,1013.7,1013.7
2025-02-09 11:10:00+01:00,,,,,,2.7,83.0,1013.8,1013.8
2025-02-09 11:15:00+01:00,,,,,,2.7,83.0,1013.8,1013.8
2025-02-09 11:20:00+01:00,,,,,,2.8,83.0,1013.8,1013.8
2025-02-09 11:25:00+01:00,,,,,,2.9,83.0,1013.9,1013.9
2025-02-09 11:30:00+01:00,,,,,,2.9,83.0,1013.9,1013.9
2025-02-09 11:35:00+01:00,,,,,,3.0,83.0,1014.0,1014.0
2025-02-09 11:40:00+01:00,,,,,,3.0,83.0,1014.0,1014.0
2025-02-09 11:45:00+01:00,,,,,,3.1,83.0,1013.9,1013.9
2025-02-09 11:50:00+01:00,,,,,,3.1,83.0,1013.9,1013.9
2025-02-09 11:55:00+01:00,,,,,,3.2,83.0,1014.0,1014.0
2025-02-09 12:00:00+01:00,,,,,,3.2,83.0,1014.0,1014.0
2025-02-09 12:05:00+01:00,,,,,,3.3,83.0,1013.9,1013.9
2025-02-09 12:10:00+01:00,,,,,,3.3,82.0,1013.9,1013.9
2025-02-09 12:15:00+01:00,,,,,,3.4,82.0,1014.0,1014.0
2025-02-09 12:20:00+01:00,,,,,,3.4,82.0,1013.9,1013.9
2025-02-09 12:25:00+01:00,,,,,,3.5,82.0,1014.0,1014.0
2025-02-09 12:30:00+01:00,,,,,,3.5,82.0,1014.0,1014.0
2025-02-09 12:35:00+01:00,,,,,,3.6,82.0,1014.0,1014.0
2025-02-09 12:40:00+01:00,,,,,,3.6,82.0,1014.0,1014.0
2025-02-09 12:45:00+01:00,,,,,,3.7,82.0,1014.1,1014.1
2025-02-09 12:50:00+01:00,,,,,,3.7,82.0,1014.0,1014.0
2025-02-09 12:55:00+01:00,,,,,,3.8,82.0,1014.0,1014.0
2025-02-09 13:00:00+01:00,,,,,,3.9,82.0,1014.0,1014.0
2025-02-09 13:05:00+01:00,,,,,,3.9,82.0,1014.0,1014.0
2025-02-09 13:10:00+01:00,,,,,,4.0,82.0,1014.0,1014.0
2025-02-09 13:15:00+01:00,,,,,,4.0,82.0,1013.8,1013.8
2025-02-09 13:20:00+01:00,,,,,,4.1,82.0,1014.0,1014.0
2025-02-09 13:25:00+01:00,,,,,,4.2,82.0,1013.8,1013.8
2025-02-09 13:30:00+01:00,,,,,,4.2,82.0,1013.9,1013.9
2025-02-09 13:35:00+01:00,,,,,,4.3,82.0,1013.8,1013.8
2025-02-09 13:40:00+01:00,,,,,,4.3,82.0,1013.7,1013.7
2025-02-09 13:45:00+01:00,,,,,,4.4,81.0,1013.7,1013.7
2025-02-09 13:50:00+01:00,,,,,,4.5,81.0,1013.6,1013.6
2025-02-09 13:55:00+01:00,,,,,,4.5,81.0,1013.6,1013.6
2025-02-09 14:00:00+01:00,,,,,,4.6,81.0,1013.6,1013.6
2025-02-09 14:05:00+01:00,,,,,,4.6,81.0,1013.7,1013.7
2025-02-09 14:10:00+01:00,,,,,,4.7,81.0,1013.7,1013.7
2025-02-09 14:15:00+01:00,,,,,,4.8,81.0,1013.7,1013.7
2025-02-09 14:20:00+01:00,,,,,,4.8,81.0,1013.7,1013.7
2025-02-09 14:25:00+01:00,,,,,,4.8,81.0,1013.6,1013.6
2025-02-09 14:30:00+01:00,,,,,,4.9,81.0,1013.7,1013.7
2025-02-09 14:35:00+01:00,,,,,,4.9,81.0,1013.7,1013.7
2025-02-09 14:40:00+01:00,,,,,,5.0,81.0,1013.8,1013.8
2025-02-09 14:45:00+01:00,,,,,,5.0,81.0,1013.8,1013.8
2025-02-09 14:50:00+01:00,,,,,,5.0,81.0,1013.8,1013.8
2025-02-09 14:55:00+01:00,,,,,,5.1,81.0,1013.8,1013.8
2025-02-09 15:00:00+01:00,,,,,,5.1,81.0,1013.8,1013.8
2025-02-09 15:05:00+01:00,,,,,,5.1,81.0,1013.8,1013.8
2025-02-09 15:10:00+01:00,,,,,,5.2,81.0,1013.8,1013.8
2025-02-09 15:15:00+01:00,,,,,,5.2,81.0,1013.8,1013.8
2025-02-09 15:20:00+01:00,,,,,,5.3,81.0,1013.8,1013.8
2025-02-09 15:25:00+01:00,,,,,,5.3,81.0,1013.8,1013.8
2025-02-09 15:30:00+01:00,,,,,,5.4,81.0,1013.9,1013.9
2025-02-09 15:35:00+01:00,,,,,,5.4,81.0,1013.9,1013.9
2025-02-09 15:40:00+01:00,,,,,,5.4,81.0,1013.9,1013.9
2025-02-09 15:45:00+01:00,,,,,,5.5,81.0,1014.0,1014.0
2025-02-09 15:50:00+01:00,,,,,,5.5,81.0,1014.1,1014.1
2025-02-09 15:55:00+01:00,,,,,,5.5,81.0,1014.0,1014.0
2025-02-09 16:00:00+01:00,,,,,,5.5,81.0,1013.9,1013.9
2025-02-09 16:05:00+01:00,,,,,,5.6,81.0,1014.0,1014.0
2025-02-09 16:10:00+01:00,,,,,,5.6,81.0,1013.9,1013.9
2025-02-09 16:15:00+01:00,,,,,,5.6,81.0,1014.0,1014.0
2025-02-09 16:20:00+01:00,,,,,,5.6,81.0,1014.0,1014.0
2025-02-09 16:25:00+01:00,,,,,,5.7,81.0,1014.0,1014.0
2025-02-09 16:30:00+01:00,,,,,,5.7,81.0,1014.0,1014.0
2025-02-09 16:35:00+01:00,,,,,,5.7,81.0,1014.0,1014.0
2025-02-09 16:40:00+01:00,,,,,,5.7,81.0,1013.9,1013.9
2025-02-09 16:45:00+01:00,,,,,,5.7,81.0,1013.9,1013.9
2025-02-09 16:50:00+01:00,,,,,,5.7,82.0,1013.9,1013.9
2025-02-09 16:55:00+01:00,,,,,,5.7,82.0,1014.0,1014.0
2025-02-09 17:00:00+01:00,,,,,,5.7,82.0,1013.9,1013.9
2025-02-09 17:05:00+01:00,,,,,,5.7,82.0,1014.0,1014.0
2025-02-09 17:10:00+01:00,,,,,,5.8,82.0,1014.1,1014.1
2025-02-09 17:15:00+01:00,,,,,,5.7,82.0,1014.1,1014.1
2025-02-09 17:20:00+01:00,,,,,,5.7,82.0,1014.1,1014.1
2025-02-09 17:25:00+01:00,,,,,,5.7,82.0,1014.2,1014.2
2025-02-09 17:30:00+01:00,,,,,,5.7,82.0,1014.2,1014.2
2025-02-09 17:35:00+01:00,,,,,,5.7,82.0,1014.3,1014.3
2025-02-09 17:40:00+01:00,,,,,,5.7,82.0,1014.3,1014.3
2025-02-09 17:45:00+01:00,,,,,,5.7,82.0,1014.3,1014.3
2025-02-09 17:50:00+01:00,,,,,,5.7,82.0,1014.3,1014.3
2025-02-09 17:55:00+01:00,,,,,,5.6,82.0,1014.3,1014.3
2025-02-09 18:00:00+01:00,,,,,,5.6,82.0,1014.3,1014.3
2025-02-09 18:05:00+01:00,,,,,,5.6,82.0,1014.3,1014.3
2025-02-09 18:10:00+01:00,,,,,,5.5,82.0,1014.3,1014.3
2025-02-09 18:15:00+01:00,,,,,,5.5,81.0,1014.4,1014.4
2025-02-09 18:20:00+01:00,,,,,,5.5,81.0,1014.5,1014.5
2025-02-09 18:25:00+01:00,,,,,,5.5,81.0,1014.4,1014.4
2025-02-09 18:30:00+01:00,,,,,,5.4,81.0,1014.3,1014.3
2025-02-09 18:35:00+01:00,,,,,,5.4,81.0,1014.4,1014.4
2025-02-09 18:40:00+01:00,,,,,,5.4,81.0,1014.4,1014.4
2025-02-09 18:45:00+01:00,,,,,,5.4,81.0,1014.4,1014.4
2025-02-09 18:50:00+01:00,,,,,,5.3,81.0,1014.5,1014.5
2025-02-09 18:55:00+01:00,,,,,,5.3,81.0,1014.5,1014.5
2025-02-09 19:00:00+01:00,,,,,,5.3,81.0,1014.5,1014.5
2025-02-09 19:05:00+01:00,,,,,,5.3,81.0,1014.5,1014.5
2025-02-09 19:10:00+01:00,,,,,,5.2,81.0,1014.5,1014.5
2025-02-09 19:15:00+01:00,,,,,,5.2,81.0,1014.5,1014.5
2025-02-09 19:20:00+01:00,,,,,,5.2,81.0,1014.4,1014.4
2025-02-09 19:25:00+01:00,,,,,,5.2,81.0,1014.4,1014.4
2025-02-09 19:30:00+01:00,,,,,,5.1,81.0,1014.4,1014.4
2025-02-09 19:35:00+01:00,,,,,,5.1,81.0,1014.4,1014.4
2025-02-09 19:40:00+01:00,,,,,,5.1,81.0,1014.5,1014.5
2025-02-09 19:45:00+01:00,,,,,,5.1,81.0,1014.4,1014.4
2025-02-09 19:50:00+01:00,,,,,,5.0,81.0,1014.5,1014.5
2025-02-09 19:55:00+01:00,,,,,,5.0,81.0,1014.4,1014.4
2025-02-09 20:00:00+01:00,,,,,,5.0,81.0,1014.5,1014.5
2025-02-09 20:05:00+01:00,,,,,,4.9,81.0,1014.4,1014.4
2025-02-09 20:10:00+01:00,,,,,,4.9,81.0,1014.4,1014.4
2025-02-09 20:15:00+01:00,,,,,,4.9,81.0,1014.3,1014.3
2025-02-09 20:20:00+01:00,,,,,,4.9,81.0,1014.5,1014.5
2025-02-09 20:25:00+01:00,,,,,,4.9,81.0,1014.5,1014.5
2025-02-09 20:30:00+01:00,,,,,,4.8,81.0,1014.5,1014.5
2025-02-09 20:35:00+01:00,,,,,,4.8,81.0,1014.4,1014.4
2025-02-09 20:40:00+01:00,,,,,,4.8,81.0,1014.4,1014.4
2025-02-09 20:45:00+01:00,,,,,,4.8,81.0,1014.4,1014.4
2025-02-09 20:50:00+01:00,,,,,,4.7,81.0,1014.5,1014.5
2025-02-09 20:55:00+01:00,,,,,,4.7,81.0,1014.3,1014.3
2025-02-09 21:00:00+01:00,,,,,,4.7,81.0,1014.3,1014.3
2025-02-09 21:05:00+01:00,,,,,,4.7,81.0,1014.3,1014.3
2025-02-09 21:10:00+01:00,,,,,,4.7,81.0,1014.3,1014.3
2025-02-09 21:15:00+01:00,,,,,,4.6,81.0,1014.3,1014.3
2025-02-09 21:20:00+01:00,,,,,,4.6,81.0,1014.3,1014.3
2025-02-09 21:25:00+01:00,,,,,,4.6,80.0,1014.2,1014.2
2025-02-09 21:30:00+01:00,,,,,,4.5,80.0,1014.3,1014.3
2025-02-09 21:35:00+01:00,,,,,,4.5,80.0,1014.3,1014.3
2025-02-09 21:40:00+01:00,,,,,,4.5,80.0,1014.2,1014.2
2025-02-09 21:45:00+01:00,,,,,,4.5,80.0,1014.2,1014.2
2025-02-09 21:50:00+01:00,,,,,,4.4,80.0,1014.3,1014.3
2025-02-09 21:55:00+01:00,,,,,,4.4,80.0,1014.2,1014.2
2025-02-09 22:00:00+01:00,,,,,,4.4,80.0,1014.2,1014.2
2025-02-09 22:05:00+01:00,,,,,,4.4,80.0,1014.2,1014.2
2025-02-09 22:10:00+01:00,,,,,,4.3,80.0,1014.3,1014.3
2025-02-09 22:15:00+01:00,,,,,,4.3,80.0,1014.2,1014.2
2025-02-09 22:20:00+01:00,,,,,,4.3,80.0,1014.3,1014.3
2025-02-09 22:25:00+01:00,,,,,,4.3,80.0,1014.2,1014.2
2025-02-09 22:30:00+01:00,,,,,,4.3,80.0,1014.3,1014.3
2025-02-09 22:35:00+01:00,,,,,,4.2,80.0,1014.3,1014.3
2025-02-09 22:40:00+01:00,,,,,,4.2,80.0,1014.2,1014.2
2025-02-09 22:45:00+01:00,,,,,,4.2,80.0,1014.3,1014.3
2025-02-09 22:50:00+01:00,,,,,,4.2,80.0,1014.2,1014.2
2025-02-09 22:55:00+01:00,,,,,,4.2,80.0,1014.1,1014.1
2025-02-09 23:00:00+01:00,,,,,,4.1,80.0,1014.2,1014.2
2025-02-09 23:05:00+01:00,,,,,,4.1,80.0,1014.1,1014.1
2025-02-09 23:10:00+01:00,,,,,,4.1,80.0,1014.1,1014.1
2025-02-09 23:15:00+01:00,,,,,,4.1,80.0,1014.1,1014.1
2025-02-09 23:20:00+01:00,,,,,,4.0,80.0,1014.0,1014.0
2025-02-09 23:25:00+01:00,,,,,,4.0,80.0,1014.1,1014.1
2025-02-09 23:30:00+01:00,,,,,,4.0,80.0,1014.0,1014.0
2025-02-09 23:35:00+01:00,,,,,,4.0,81.0,1014.1,1014.1
2025-02-09 23:40:00+01:00,,,,,,4.0,81.0,1014.1,1014.1
2025-02-09 23:45:00+01:00,,,,,,4.0,81.0,1014.0,1014.0
