datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum,year_month
2023-10-20 00:00:00,900541,Uemminger See,51.46932,7.29004,1.359,13.3,70.476,7.379,4469,3.647,15.78,6.8,2023-10
2023-10-20 12:00:00,900541,Uemminger See,51.46932,7.29004,1.37,13.4,57.961,6.021,4498,3.655,16.21,6.9,2023-10
2023-10-20 12:00:52,900541,Uemminger See,51.46932,7.29004,1.368,13.4,58.754,6.102,4494,3.596,16.41,6.9,2023-10
2023-10-20 12:15:01,900541,Uemminger See,51.46932,7.29004,1.372,13.4,60.664,6.301,4508,3.62,16.29,6.9,2023-10
2023-10-20 12:30:01,900541,Uemminger See,51.46932,7.29004,1.372,13.5,59.644,6.195,4478,,,,2023-10
2023-10-20 12:45:01,900541,Uemminger See,51.46932,7.29004,1.37,13.5,59.021,6.128,4465,,,,2023-10
2023-10-20 13:00:00,900541,Uemminger See,51.46932,7.29004,1.371,13.5,56.275,5.844,4507,3.635,16.3,6.9,2023-10
2023-10-20 13:15:00,900541,Uemminger See,51.46932,7.29004,1.374,13.5,57.526,5.974,4509,3.616,16.22,6.9,2023-10
2023-10-20 13:30:00,900541,Uemminger See,51.46932,7.29004,1.374,13.5,60.003,6.231,4466,,,,2023-10
2023-10-20 13:45:00,900541,Uemminger See,51.46932,7.29004,1.375,13.4,61.718,6.41,4508,,,,2023-10
2023-10-20 14:00:00,900541,Uemminger See,51.46932,7.29004,1.372,13.5,63.401,6.584,4466,3.634,15.9,6.9,2023-10
2023-10-20 14:15:00,900541,Uemminger See,51.46932,7.29004,1.375,13.5,61.68,6.406,4444,3.612,15.9,6.9,2023-10
2023-10-20 14:30:00,900541,Uemminger See,51.46932,7.29004,1.374,13.5,61.215,6.357,4462,,,,2023-10
2023-10-20 14:45:00,900541,Uemminger See,51.46932,7.29004,1.37,13.5,62.394,6.479,4491,,,,2023-10
2023-10-20 15:00:00,900541,Uemminger See,51.46932,7.29004,1.373,13.5,64.915,6.736,4459,3.631,15.67,6.9,2023-10
2023-10-20 15:15:00,900541,Uemminger See,51.46932,7.29004,1.371,13.5,63.722,6.61,4450,3.616,15.69,6.9,2023-10
2023-10-20 15:30:00,900541,Uemminger See,51.46932,7.29004,1.373,13.5,64.296,6.67,4467,,,,2023-10
2023-10-20 15:45:00,900541,Uemminger See,51.46932,7.29004,1.371,13.5,61.949,6.427,4502,,,,2023-10
2023-10-20 16:00:01,900541,Uemminger See,51.46932,7.29004,1.372,13.5,61.3,6.352,4464,3.631,15.85,6.9,2023-10
2023-10-20 16:15:00,900541,Uemminger See,51.46932,7.29004,1.371,13.5,59.306,6.146,4479,3.611,15.99,6.9,2023-10
2023-10-20 16:30:00,900541,Uemminger See,51.46932,7.29004,1.367,13.6,58.183,6.029,4445,,,,2023-10
2023-10-20 16:45:00,900541,Uemminger See,51.46932,7.29004,1.369,13.5,58.819,6.094,4408,,,,2023-10
2023-10-20 17:00:01,900541,Uemminger See,51.46932,7.29004,1.373,13.5,53.793,5.579,4488,3.62,16.77,6.9,2023-10
2023-10-20 17:15:00,900541,Uemminger See,51.46932,7.29004,1.375,13.6,57.186,5.923,4487,3.612,16.83,6.9,2023-10
2023-10-20 17:30:00,900541,Uemminger See,51.46932,7.29004,1.376,13.6,55.946,5.793,4427,,,,2023-10
2023-10-20 17:45:00,900541,Uemminger See,51.46932,7.29004,1.376,13.5,55.087,5.704,4411,,,,2023-10
2023-10-20 18:00:01,900541,Uemminger See,51.46932,7.29004,1.376,13.6,59.941,6.194,4316,3.632,16.42,6.9,2023-10
2023-10-20 18:15:00,900541,Uemminger See,51.46932,7.29004,1.377,13.5,52.526,5.425,4408,3.616,16.3,6.9,2023-10
2023-10-20 18:30:00,900541,Uemminger See,51.46932,7.29004,1.376,13.5,51.007,5.263,4368,,,,2023-10
2023-10-20 18:45:00,900541,Uemminger See,51.46932,7.29004,1.374,13.6,48.408,4.996,4381,,,,2023-10
2023-10-20 19:00:01,900541,Uemminger See,51.46932,7.29004,1.373,13.6,45.712,4.713,4410,3.628,16.04,6.9,2023-10
2023-10-20 19:15:00,900541,Uemminger See,51.46932,7.29004,1.373,13.6,45.394,4.675,4418,3.615,16.1,6.9,2023-10
2023-10-20 19:30:00,900541,Uemminger See,51.46932,7.29004,1.373,13.6,45.97,4.734,4401,,,,2023-10
2023-10-20 19:45:00,900541,Uemminger See,51.46932,7.29004,1.375,13.6,43.401,4.471,4424,,,,2023-10
2023-10-20 20:00:01,900541,Uemminger See,51.46932,7.29004,1.375,13.6,43.433,4.48,4442,3.617,15.75,6.9,2023-10
2023-10-20 20:15:00,900541,Uemminger See,51.46932,7.29004,1.375,13.6,43.666,4.496,4396,3.614,15.69,6.9,2023-10
2023-10-20 20:30:00,900541,Uemminger See,51.46932,7.29004,1.373,13.6,41.149,4.243,4440,,,,2023-10
2023-10-20 20:45:00,900541,Uemminger See,51.46932,7.29004,1.373,13.6,38.829,4.008,4452,,,,2023-10
2023-10-20 21:00:01,900541,Uemminger See,51.46932,7.29004,1.374,13.6,39.075,4.032,4439,3.631,15.41,6.9,2023-10
2023-10-20 21:15:00,900541,Uemminger See,51.46932,7.29004,1.373,13.6,39.436,4.062,4410,3.607,15.4,6.9,2023-10
2023-10-20 21:30:00,900541,Uemminger See,51.46932,7.29004,1.373,13.7,39.725,4.093,4412,,,,2023-10
2023-10-20 21:45:00,900541,Uemminger See,51.46932,7.29004,1.373,13.7,40.112,4.133,4393,,,,2023-10
2023-10-20 22:00:01,900541,Uemminger See,51.46932,7.29004,1.372,13.6,40.368,4.163,4445,3.63,15.16,6.9,2023-10
2023-10-20 22:15:00,900541,Uemminger See,51.46932,7.29004,1.373,13.6,40.674,4.197,4361,3.61,15.18,6.9,2023-10
2023-10-20 22:30:00,900541,Uemminger See,51.46932,7.29004,1.373,13.7,45.119,4.663,4052,,,,2023-10
2023-10-20 22:45:00,900541,Uemminger See,51.46932,7.29004,1.371,13.6,40.086,4.137,4436,,,,2023-10
2023-10-20 23:00:01,900541,Uemminger See,51.46932,7.29004,1.373,13.7,40.368,4.17,4464,3.628,14.83,6.9,2023-10
2023-10-20 23:15:00,900541,Uemminger See,51.46932,7.29004,1.374,13.7,40.863,4.219,4412,3.612,14.71,6.9,2023-10
2023-10-20 23:30:00,900541,Uemminger See,51.46932,7.29004,1.373,13.7,45.641,4.722,4472,,,,2023-10
2023-10-20 23:45:00,900541,Uemminger See,51.46932,7.29004,1.368,13.7,45.089,4.668,4444,,,,2023-10
2023-10-21 00:00:01,900541,Uemminger See,51.46932,7.29004,1.369,13.6,49.194,5.093,4449,3.628,14.67,6.9,2023-10
2023-10-21 00:15:00,900541,Uemminger See,51.46932,7.29004,1.368,13.7,50.51,5.229,4429,3.602,14.79,6.9,2023-10
2023-10-21 00:30:00,900541,Uemminger See,51.46932,7.29004,1.369,13.7,50.564,5.235,4493,,,,2023-10
2023-10-21 00:45:00,900541,Uemminger See,51.46932,7.29004,1.37,13.6,50.199,5.198,4384,,,,2023-10
2023-10-21 01:00:01,900541,Uemminger See,51.46932,7.29004,1.373,13.6,51.562,5.34,4406,3.627,14.68,6.9,2023-10
2023-10-21 01:15:00,900541,Uemminger See,51.46932,7.29004,1.374,13.6,51.307,5.313,4396,3.602,14.55,6.9,2023-10
2023-10-21 01:30:00,900541,Uemminger See,51.46932,7.29004,1.373,13.7,52.945,5.486,4381,,,,2023-10
2023-10-21 01:45:00,900541,Uemminger See,51.46932,7.29004,1.369,13.7,55.581,5.76,4400,,,,2023-10
2023-10-21 02:00:01,900541,Uemminger See,51.46932,7.29004,1.366,13.6,55.796,5.782,4370,3.628,14.63,6.9,2023-10
2023-10-21 02:15:00,900541,Uemminger See,51.46932,7.29004,1.364,13.6,52.709,5.468,4421,3.612,14.91,6.9,2023-10
2023-10-21 02:30:00,900541,Uemminger See,51.46932,7.29004,1.365,13.6,55.297,5.737,4366,,,,2023-10
2023-10-21 02:45:00,900541,Uemminger See,51.46932,7.29004,1.367,13.6,53.063,5.506,4397,,,,2023-10
2023-10-21 03:00:01,900541,Uemminger See,51.46932,7.29004,1.368,13.6,54.409,5.646,4373,3.623,15.36,6.9,2023-10
2023-10-21 03:15:00,900541,Uemminger See,51.46932,7.29004,1.368,13.6,54.791,5.687,4419,3.605,15.48,6.9,2023-10
2023-10-21 03:30:00,900541,Uemminger See,51.46932,7.29004,1.369,13.6,54.808,5.691,4393,,,,2023-10
2023-10-21 03:45:00,900541,Uemminger See,51.46932,7.29004,1.37,13.6,56.305,5.847,4398,,,,2023-10
2023-10-21 04:00:01,900541,Uemminger See,51.46932,7.29004,1.37,13.6,55.363,5.75,4409,3.628,15.63,6.9,2023-10
2023-10-21 04:15:00,900541,Uemminger See,51.46932,7.29004,1.372,13.6,56.356,5.853,4395,3.613,15.7,6.9,2023-10
2023-10-21 04:30:00,900541,Uemminger See,51.46932,7.29004,1.373,13.6,55.506,5.765,4409,,,,2023-10
2023-10-21 04:45:00,900541,Uemminger See,51.46932,7.29004,1.374,13.6,56.305,5.848,4391,,,,2023-10
2023-10-21 05:00:01,900541,Uemminger See,51.46932,7.29004,1.374,13.6,57.67,5.993,4368,3.617,15.73,6.9,2023-10
2023-10-21 05:15:00,900541,Uemminger See,51.46932,7.29004,1.375,13.6,57.903,6.016,4375,3.614,15.85,6.9,2023-10
2023-10-21 05:30:00,900541,Uemminger See,51.46932,7.29004,1.374,13.6,59.685,6.209,4345,,,,2023-10
2023-10-21 05:45:00,900541,Uemminger See,51.46932,7.29004,1.376,13.6,61.015,6.349,4393,,,,2023-10
2023-10-21 06:00:01,900541,Uemminger See,51.46932,7.29004,1.374,13.7,62.428,6.501,4236,3.618,15.97,6.9,2023-10
2023-10-21 06:15:00,900541,Uemminger See,51.46932,7.29004,1.374,13.6,61.862,6.446,4254,3.614,16.1,6.9,2023-10
2023-10-21 06:30:00,900541,Uemminger See,51.46932,7.29004,1.375,13.7,54.75,5.688,4375,,,,2023-10
2023-10-21 06:45:00,900541,Uemminger See,51.46932,7.29004,1.376,13.7,57.389,5.972,4306,,,,2023-10
2023-10-21 07:00:01,900541,Uemminger See,51.46932,7.29004,1.379,13.6,62.579,6.516,4233,3.628,16.16,7.0,2023-10
2023-10-21 07:15:00,900541,Uemminger See,51.46932,7.29004,1.384,13.7,54.737,5.685,4272,3.61,16.03,7.0,2023-10
2023-10-21 07:30:00,900541,Uemminger See,51.46932,7.29004,1.384,13.6,52.034,5.402,4299,,,,2023-10
2023-10-21 07:45:00,900541,Uemminger See,51.46932,7.29004,1.38,13.6,53.827,5.586,4307,,,,2023-10
2023-10-21 08:00:01,900541,Uemminger See,51.46932,7.29004,1.377,13.6,53.343,5.533,4324,3.627,15.86,7.0,2023-10
2023-10-21 08:15:00,900541,Uemminger See,51.46932,7.29004,1.375,13.7,49.572,5.136,4384,3.613,16.08,7.0,2023-10
2023-10-21 08:30:00,900541,Uemminger See,51.46932,7.29004,1.375,13.7,46.381,4.803,4350,,,,2023-10
2023-10-21 08:45:00,900541,Uemminger See,51.46932,7.29004,1.37,13.6,45.193,4.678,4305,,,,2023-10
2023-10-21 09:00:01,900541,Uemminger See,51.46932,7.29004,1.366,13.7,41.011,4.238,4397,3.628,17.02,7.0,2023-10
2023-10-21 09:15:00,900541,Uemminger See,51.46932,7.29004,1.376,13.7,35.449,3.661,4376,3.615,17.38,7.0,2023-10
2023-10-21 09:30:00,900541,Uemminger See,51.46932,7.29004,1.368,13.6,34.845,3.597,4325,,,,2023-10
2023-10-21 09:45:00,900541,Uemminger See,51.46932,7.29004,1.354,13.7,38.524,3.979,4200,,,,2023-10
2023-10-21 10:00:01,900541,Uemminger See,51.46932,7.29004,1.371,13.7,29.204,3.01,4314,3.633,18.66,7.0,2023-10
2023-10-21 10:15:00,900541,Uemminger See,51.46932,7.29004,1.378,13.7,38.677,3.991,4011,3.615,18.59,7.0,2023-10
2023-10-21 10:30:00,900541,Uemminger See,51.46932,7.29004,1.371,13.7,36.895,3.8,4112,,,,2023-10
2023-10-21 10:45:00,900541,Uemminger See,51.46932,7.29004,1.36,13.7,25.109,2.584,4297,,,,2023-10
2023-10-21 11:00:01,900541,Uemminger See,51.46932,7.29004,1.351,13.7,37.57,3.874,4118,3.631,19.83,7.1,2023-10
2023-10-21 11:15:00,900541,Uemminger See,51.46932,7.29004,1.355,13.8,36.899,3.804,4095,3.614,20.6,7.1,2023-10
2023-10-21 11:30:00,900541,Uemminger See,51.46932,7.29004,1.365,13.8,35.716,3.679,4096,,,,2023-10
2023-10-21 11:45:00,900541,Uemminger See,51.46932,7.29004,1.366,13.9,54.33,5.579,4054,,,,2023-10
2023-10-21 12:00:01,900541,Uemminger See,51.46932,7.29004,1.359,13.9,51.73,5.309,4086,3.64,21.63,7.1,2023-10
2023-10-21 12:15:00,900541,Uemminger See,51.46932,7.29004,1.377,13.9,46.504,4.78,4033,3.622,21.85,7.1,2023-10
2023-10-21 12:30:00,900541,Uemminger See,51.46932,7.29004,1.375,13.9,48.906,5.02,4031,,,,2023-10
2023-10-21 12:45:00,900541,Uemminger See,51.46932,7.29004,1.369,13.9,58.817,6.004,3923,,,,2023-10
2023-10-21 13:00:01,900541,Uemminger See,51.46932,7.29004,1.371,13.9,57.201,5.838,3975,3.643,21.8,7.1,2023-10
2023-10-21 13:15:00,900541,Uemminger See,51.46932,7.29004,1.365,13.9,55.278,5.646,3948,3.614,22.1,7.2,2023-10
2023-10-21 13:30:00,900541,Uemminger See,51.46932,7.29004,1.372,13.9,59.365,6.039,3956,,,,2023-10
2023-10-21 13:45:00,900541,Uemminger See,51.46932,7.29004,1.369,14.0,61.307,6.23,3909,,,,2023-10
2023-10-21 14:00:01,900541,Uemminger See,51.46932,7.29004,1.387,14.0,62.091,6.308,3908,3.639,22.1,7.2,2023-10
2023-10-21 14:15:00,900541,Uemminger See,51.46932,7.29004,1.368,14.0,61.596,6.239,3925,3.622,21.72,7.1,2023-10
2023-10-21 14:30:00,900541,Uemminger See,51.46932,7.29004,1.365,14.0,60.966,6.176,3954,,,,2023-10
2023-10-21 14:45:00,900541,Uemminger See,51.46932,7.29004,1.359,14.0,61.989,6.28,3975,,,,2023-10
2023-10-21 15:00:01,900541,Uemminger See,51.46932,7.29004,1.383,14.0,64.062,6.495,4007,3.639,22.25,7.2,2023-10
2023-10-21 15:15:01,900541,Uemminger See,51.46932,7.29004,1.391,14.1,62.66,6.361,3947,3.621,21.59,7.2,2023-10
2023-10-21 15:30:01,900541,Uemminger See,51.46932,7.29004,1.383,14.1,62.258,6.32,3971,,,,2023-10
2023-10-21 15:45:01,900541,Uemminger See,51.46932,7.29004,1.37,14.1,63.219,6.408,3879,,,,2023-10
2023-10-21 16:00:00,900541,Uemminger See,51.46932,7.29004,1.366,14.1,65.112,6.595,3910,3.641,21.07,7.1,2023-10
