datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum,year_month
2024-01-03 09:15:00,900415,Kuehlteich,51.48196,7.19709,73.743,6.513,60.977,7.419,,3.708,12.17,25.2,2024-01
2024-01-03 09:30:00,900415,Kuehlteich,51.48196,7.19709,73.741,6.5,62.049,7.548,,,,,2024-01
2024-01-03 09:45:00,900415,Kuehlteich,51.48196,7.19709,73.741,6.5,64.074,7.793,,,,,2024-01
2024-01-03 10:00:00,900415,Kuehlteich,51.48196,7.19709,73.738,6.497,64.202,7.808,,3.722,11.99,25.2,2024-01
2024-01-03 10:15:01,900415,Kuehlteich,51.48196,7.19709,73.74,6.5,63.842,7.764,,3.703,11.93,25.2,2024-01
2024-01-03 10:30:01,900415,Kuehlteich,51.48196,7.19709,73.74,6.506,63.018,7.664,,,,,2024-01
2024-01-03 10:45:01,900415,Kuehlteich,51.48196,7.19709,73.74,6.534,62.653,7.619,,,,,2024-01
2024-01-03 11:00:00,900415,Kuehlteich,51.48196,7.19709,73.741,6.65,61.756,7.509,,3.727,11.85,25.2,2024-01
2024-01-03 11:15:00,900415,Kuehlteich,51.48196,7.19709,73.741,6.491,61.545,7.483,,3.704,11.94,25.2,2024-01
2024-01-03 11:30:00,900415,Kuehlteich,51.48196,7.19709,73.74,6.653,61.307,7.453,,,,,2024-01
2024-01-03 11:45:00,900415,Kuehlteich,51.48196,7.19709,73.74,6.516,61.476,7.472,,,,,2024-01
2024-01-03 12:00:00,900415,Kuehlteich,51.48196,7.19709,73.743,6.516,62.249,7.564,,3.722,12.15,25.3,2024-01
2024-01-03 12:15:01,900415,Kuehlteich,51.48196,7.19709,73.738,6.522,62.951,7.646,,3.711,12.41,25.3,2024-01
2024-01-03 12:30:01,900415,Kuehlteich,51.48196,7.19709,73.742,6.566,63.856,7.751,,,,,2024-01
2024-01-03 12:45:01,900415,Kuehlteich,51.48196,7.19709,73.741,6.55,64.741,7.857,,,,,2024-01
2024-01-03 13:00:00,900415,Kuehlteich,51.48196,7.19709,73.74,6.563,64.499,7.827,,3.73,12.8,25.3,2024-01
2024-01-03 13:15:01,900415,Kuehlteich,51.48196,7.19709,73.739,6.569,64.486,7.826,,3.708,12.88,25.3,2024-01
2024-01-03 13:30:01,900415,Kuehlteich,51.48196,7.19709,73.741,6.575,64.963,7.883,,,,,2024-01
2024-01-03 13:45:01,900415,Kuehlteich,51.48196,7.19709,73.745,6.569,66.033,8.011,,,,,2024-01
2024-01-03 14:00:00,900415,Kuehlteich,51.48196,7.19709,73.741,6.609,65.839,7.982,,3.729,13.25,25.4,2024-01
2024-01-03 14:15:01,900415,Kuehlteich,51.48196,7.19709,73.743,6.572,64.641,7.836,,3.708,13.35,25.4,2024-01
2024-01-03 14:30:01,900415,Kuehlteich,51.48196,7.19709,73.74,6.584,64.056,7.765,,,,,2024-01
2024-01-03 14:45:01,900415,Kuehlteich,51.48196,7.19709,73.739,6.763,64.952,7.872,,,,,2024-01
2024-01-03 15:00:00,900415,Kuehlteich,51.48196,7.19709,73.736,6.628,64.078,7.766,,3.729,12.7,25.3,2024-01
2024-01-03 15:15:01,900415,Kuehlteich,51.48196,7.19709,73.736,6.634,63.365,7.679,,3.713,12.5,25.2,2024-01
2024-01-03 15:30:01,900415,Kuehlteich,51.48196,7.19709,73.735,6.606,63.008,7.639,,,,,2024-01
2024-01-03 15:45:01,900415,Kuehlteich,51.48196,7.19709,73.735,6.588,62.217,7.543,,,,,2024-01
2024-01-03 16:00:00,900415,Kuehlteich,51.48196,7.19709,73.735,6.616,61.462,7.457,,3.73,12.0,25.3,2024-01
2024-01-03 16:15:00,900415,Kuehlteich,51.48196,7.19709,73.735,6.559,60.591,7.354,,3.705,11.99,25.2,2024-01
2024-01-03 16:30:00,900415,Kuehlteich,51.48196,7.19709,73.735,6.578,59.556,7.229,,,,,2024-01
2024-01-03 16:45:00,900415,Kuehlteich,51.48196,7.19709,73.735,6.616,59.54,7.226,,,,,2024-01
2024-01-03 17:00:00,900415,Kuehlteich,51.48196,7.19709,73.736,6.6,58.86,7.142,,3.725,11.81,25.2,2024-01
2024-01-03 17:15:01,900415,Kuehlteich,51.48196,7.19709,73.735,6.566,58.296,7.074,,3.703,11.84,25.2,2024-01
2024-01-03 17:30:01,900415,Kuehlteich,51.48196,7.19709,73.733,6.575,57.183,6.938,,,,,2024-01
2024-01-03 17:45:01,900415,Kuehlteich,51.48196,7.19709,73.726,6.575,57.474,6.986,,,,,2024-01
2024-01-03 18:00:00,900415,Kuehlteich,51.48196,7.19709,73.723,6.541,60.345,7.335,,3.717,11.53,25.1,2024-01
2024-01-03 18:15:01,900415,Kuehlteich,51.48196,7.19709,73.722,6.541,62.108,7.548,,3.704,11.39,25.1,2024-01
2024-01-03 18:30:01,900415,Kuehlteich,51.48196,7.19709,73.722,6.506,62.953,7.651,,,,,2024-01
2024-01-03 18:45:01,900415,Kuehlteich,51.48196,7.19709,73.72,6.547,62.929,7.648,,,,,2024-01
2024-01-03 19:00:00,900415,Kuehlteich,51.48196,7.19709,73.719,6.522,62.021,7.537,,3.726,11.0,25.1,2024-01
2024-01-03 19:15:01,900415,Kuehlteich,51.48196,7.19709,73.718,6.528,60.206,7.316,,3.702,10.99,25.1,2024-01
2024-01-03 19:30:01,900415,Kuehlteich,51.48196,7.19709,73.719,6.522,58.62,7.124,,,,,2024-01
2024-01-03 19:45:01,900415,Kuehlteich,51.48196,7.19709,73.718,6.538,57.094,6.938,,,,,2024-01
2024-01-03 20:00:00,900415,Kuehlteich,51.48196,7.19709,73.718,6.506,55.799,6.781,,3.724,10.85,25.1,2024-01
